when	WRB	when
we	PP	we
went	VBD	go
out	RP	out
driving	VBG	drive
on	IN	on
the	DT	the
Sunday	NP	Sunday
it	PP	it
was	VBD	be
actually	RB	actually
fine	JJ	fine
for	IN	for
us	PP	us
,	,	,
the	DT	the
roads	NNS	road
were	VBD	be
all	DT	all
right	NN	right
,	,	,
but	CC	but
do	VBP	do
you	PP	you
remember	VBP	remember
there	EX	there
was	VBD	be
that	DT	that
massive	JJ	massive
line	NN	line
of	IN	of
cars	NNS	car
just	RB	just
parked	VBN	park
up	RP	up
on	IN	on
the	DT	the
verges	NNS	verge
all	PDT	all
the	DT	the
way	NN	way
round	IN	around
the	DT	the
loop	NN	loop
road	NN	road
?	SENT	?
The	DT	the
main	JJ	main
road	NN	road
had	VBD	have
been	VBN	be
cleared	VBN	clear
,	,	,
you	PP	you
could	MD	could
drive	VB	drive
round	VB	round
it	PP	it
no	DT	no
problem	NN	problem
,	,	,
but	CC	but
people	NNS	people
obviously	RB	obviously
could	MD	could
n’t	RB	n't
get	VB	get
into	IN	into
their	PP$	their
side	NN	side
roads	NNS	road
,	,	,
so	RB	so
they	PP	they
’d	VBD	have
just	RB	just
left	VBN	leave
the	DT	the
cars	NNS	car
there	RB	there
and	CC	and
walked	VBD	walk
home	NN	home
.	SENT	.
I	PP	I
remember	VBP	remember
thinking	VBG	think
it	PP	it
was	VBD	be
really	RB	really
strange	JJ	strange
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
that	IN	that
at	IN	at
all	DT	all
?	SENT	?
