No	UH	no
,	,	,
I	PP	I
’ve	VBP	have
never	RB	never
actually	RB	actually
counted	VBN	count
them	PP	them
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
.	SENT	.
I	PP	I
use	VBP	use
two	CD	two
different	JJ	different
strengths	NNS	strength
–	:	-
1.5s	JJ	<unknown>
for	IN	for
normal	JJ	normal
work	NN	work
and	CC	and
2.5s	NNS	<unknown>
when	WRB	when
I	PP	I
’m	NN	<unknown>
doing	VBG	do
really	RB	really
close	JJ	close
,	,	,
detailed	JJ	detailed
stuff	NN	stuff
.	SENT	.
I	PP	I
’ve	VBP	have
got	VBN	get
loads	NNS	load
of	IN	of
pairs	NNS	pair
in	IN	in
different	JJ	different
colours	NNS	colour
and	CC	and
styles	NNS	style
,	,	,
and	CC	and
I	PP	I
just	RB	just
pick	VB	pick
them	PP	them
up	RB	up
cheap	JJ	cheap
from	IN	from
the	DT	the
Pound	NP	Pound
Shop	NP	Shop
,	,	,
so	IN	so
it	PP	it
does	VBZ	do
n’t	RB	n't
really	RB	really
matter	VB	matter
if	IN	if
they	PP	they
get	VBP	get
lost	VBN	lose
or	CC	or
scratched	VBN	scratch
.	SENT	.
On	IN	on
top	NN	top
of	IN	of
that	DT	that
,	,	,
I	PP	I
use	VBP	use
various	JJ	various
magnifying	NN	magnifying
glasses	NNS	glass
as	IN	as
well	RB	well
when	WRB	when
I	PP	I
’m	NN	<unknown>
doing	VBG	do
intricate	JJ	intricate
work	NN	work
,	,	,
so	RB	so
between	IN	between
the	DT	the
readers	NNS	reader
and	CC	and
the	DT	the
magnifiers	NNS	magnifier
it	PP	it
all	DT	all
sort	NN	sort
of	IN	of
blurs	NNS	blur
into	IN	into
one	CD	one
big	JJ	big
collection	NN	collection
.	SENT	.
