No	UH	no
,	,	,
I	PP	I
’m	NN	<unknown>
glad	NN	glad
I	PP	I
do	VBP	do
n’t	RB	n't
remember	VB	remember
everything	NN	everything
I	PP	I
did	VBD	do
or	CC	or
said	VBD	say
when	WRB	when
I	PP	I
was	VBD	be
drunk	JJ	drunk
.	SENT	.
The	DT	the
bits	NNS	bit
I	PP	I
do	VBP	do
remember	VB	remember
are	VBP	be
dreadful	JJ	dreadful
enough	RB	enough
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
n’t	RB	n't
just	RB	just
blame	VB	blame
myself	PP	myself
,	,	,
I	PP	I
blame	VBP	blame
the	DT	the
society	NN	society
we	PP	we
were	VBD	be
brought	VBN	bring
up	RP	up
in	IN	in
,	,	,
the	DT	the
things	NNS	thing
we	PP	we
were	VBD	be
taught	VBN	teach
were	VBD	be
normal	JJ	normal
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
actually	RB	actually
gave	VBD	give
a	DT	a
sadistic	JJ	sadistic
man	NN	man
the	DT	the
power	NN	power
to	TO	to
beat	VB	beat
a	DT	a
six-year-old	JJ	six-year-old
child	NN	child
.	SENT	.
It	PP	it
’s	VBZ	be
not	RB	not
so	RB	so
different	JJ	different
,	,	,
in	IN	in
a	DT	a
way	NN	way
,	,	,
from	IN	from
what	WP	what
Jimmy	NP	Jimmy
Savile	NP	Savile
ended	VBD	end
up	RP	up
in	IN	in
prison	NN	prison
for	IN	for
,	,	,
even	RB	even
if	IN	if
it	PP	it
was	VBD	be
n’t	RB	n't
specifically	RB	specifically
beating	VBG	beat
.	SENT	.
And	CC	and
now	RB	now
some	DT	some
people	NNS	people
still	RB	still
want	VBP	want
corporal	JJ	corporal
punishment	NN	punishment
back	RB	back
,	,	,
when	WRB	when
all	RB	all
it	PP	it
really	RB	really
does	VBZ	do
is	VBZ	be
make	VB	make
you	PP	you
hate	VB	hate
the	DT	the
institution	NN	institution
that	WDT	that
dishes	VBZ	dish
it	PP	it
out	RP	out
.	SENT	.
