when	WRB	when
you	PP	you
actually	RB	actually
see	VBP	see
them	PP	them
in	IN	in
real	JJ	real
life	NN	life
they	PP	they
’re	VBP	be
just	RB	just
so	RB	so
much	RB	much
better	JJR	good
than	IN	than
any	DT	any
postcard	NN	postcard
or	CC	or
printed	JJ	printed
version	NN	version
you	PP	you
get	VBP	get
the	DT	the
colours	NNS	colour
are	VBP	be
so	RB	so
much	RB	much
truer	JJR	true
and	CC	and
more	RBR	more
vivid	JJ	vivid
and	CC	and
you	PP	you
can	MD	can
really	RB	really
see	VB	see
all	PDT	all
the	DT	the
brushstrokes	NNS	brushstroke
properly	RB	properly
in	IN	in
a	DT	a
way	NN	way
you	PP	you
just	RB	just
do	VBP	do
n’t	RB	n't
on	IN	on
bags	NNS	bag
and	CC	and
cards	NNS	card
and	CC	and
things	NNS	thing
it	PP	it
makes	VBZ	make
such	PDT	such
a	DT	a
difference	NN	difference
seeing	VBG	see
the	DT	the
real	JJ	real
thing	NN	thing
I	PP	I
had	VBD	have
n’t	RB	n't
realised	VBN	realise
until	IN	until
then	RB	then
as	RB	as
well	RB	well
that	IN	that
he	PP	he
was	VBD	be
really	RB	really
quite	RB	quite
obsessed	VBN	obsess
with	IN	with
Japan	NP	Japan
it	PP	it
really	RB	really
came	VBD	come
through	RP	through
once	IN	once
you	PP	you
were	VBD	be
standing	VBG	stand
there	RB	there
in	IN	in
front	NN	front
of	IN	of
the	DT	the
actual	JJ	actual
paintings	NNS	painting
