No	UH	no
,	,	,
I	PP	I
’m	NN	<unknown>
sure	RB	sure
he	PP	he
was	VBD	be
n’t	RB	n't
sixteen	CD	sixteen
,	,	,
whatever	WDT	whatever
the	DT	the
paper	NN	paper
said	VBD	say
.	SENT	.
I	PP	I
’d	MD	will
say	VB	say
he	PP	he
was	VBD	be
probably	RB	probably
seventeen	CD	seventeen
,	,	,
maybe	RB	maybe
even	RB	even
eighteen	CD	eighteen
.	SENT	.
With	IN	with
the	DT	the
Saudi	NP	Saudi
,	,	,
Arabic	NP	Arabic
boys	NNS	boy
,	,	,
the	DT	the
ages	NNS	age
can	MD	can
be	VB	be
a	DT	a
bit	NN	bit
fluid	NN	fluid
anyway	RB	anyway
,	,	,
but	CC	but
I	PP	I
never	RB	never
once	RB	once
saw	VBD	see
him	PP	him
come	VB	come
up	RP	up
in	IN	in
any	DT	any
of	IN	of
the	DT	the
safeguarding	VBG	safeguard
stuff	NN	stuff
as	IN	as
a	DT	a
sixteen-year-old	JJ	sixteen-year-old
.	SENT	.
If	IN	if
he	PP	he
’d	VBD	have
really	RB	really
been	VBN	be
that	DT	that
age	NN	age
,	,	,
he	PP	he
should	MD	should
have	VB	have
appeared	VBN	appear
there	RB	there
at	IN	at
some	DT	some
point	NN	point
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
the	DT	the
age	NN	age
they	PP	they
printed	VBN	print
is	VBZ	be
probably	RB	probably
wrong	JJ	wrong
,	,	,
unless	IN	unless
the	DT	the
family	NN	family
themselves	PP	themselves
lied	VBD	lie
about	RB	about
how	WRB	how
old	JJ	old
he	PP	he
was	VBD	be
.	SENT	.
