And	CC	and
I	PP	I
think	VBP	think
you	PP	you
really	RB	really
must	MD	must
ask	VB	ask
her	PP	her
some	DT	some
very	RB	very
direct	JJ	direct
questions	NNS	question
about	IN	about
him	PP	him
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
Is	VBZ	be
he	PP	he
actually	RB	actually
going	VBG	go
to	TO	to
look	VB	look
after	IN	after
the	DT	the
child	NN	child
?	SENT	?
Does	VBZ	do
he	PP	he
already	RB	already
have	VBP	have
a	DT	a
family	NN	family
somewhere	RB	somewhere
else	RB	else
?	SENT	?
Is	VBZ	be
he	PP	he
really	RB	really
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
good	JJ	good
father	NN	father
in	IN	in
the	DT	the
long	JJ	long
run	NN	run
?	SENT	?
Those	DT	those
are	VBP	be
the	DT	the
things	NNS	thing
that	DT	that
matter	NN	matter
,	,	,
not	RB	not
just	RB	just
the	DT	the
excitement	NN	excitement
of	IN	of
it	PP	it
all	RB	all
now	RB	now
.	SENT	.
They	PP	they
’re	VBP	be
questions	NNS	question
about	IN	about
the	DT	the
future	NN	future
that	IN	that
she	PP	she
herself	PP	herself
needs	VBZ	need
to	TO	to
be	VB	be
asking	VBG	ask
,	,	,
even	RB	even
if	IN	if
,	,	,
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
she	PP	she
’s	VBZ	be
probably	RB	probably
not	RB	not
thinking	VBG	think
along	IN	along
those	DT	those
lines	NNS	line
at	IN	at
all	DT	all
.	SENT	.
