When	WRB	when
we	PP	we
were	VBD	be
looking	VBG	look
for	IN	for
a	DT	a
house	NN	house
,	,	,
it	PP	it
was	VBD	be
around	IN	around
Christmas	NP	Christmas
and	CC	and
she	PP	she
literally	RB	literally
had	VBD	have
no	DT	no
friends	NNS	friend
to	TO	to
spend	VB	spend
it	PP	it
with	IN	with
,	,	,
and	CC	and
I	PP	I
just	RB	just
felt	VBD	feel
really	RB	really
sorry	JJ	sorry
for	IN	for
her	PP	her
.	SENT	.
She	PP	she
’s	VBZ	be
such	PDT	such
a	DT	a
lovely	JJ	lovely
girl	NN	girl
,	,	,
so	RB	so
I	PP	I
actually	RB	actually
asked	VBD	ask
her	PP	her
if	IN	if
she	PP	she
wanted	VBD	want
to	TO	to
move	VB	move
in	IN	in
with	IN	with
us	PP	us
.	SENT	.
But	CC	but
she	PP	she
decided	VBD	decide
she	PP	she
wanted	VBD	want
to	TO	to
live	VB	live
with	IN	with
some	DT	some
of	IN	of
her	PP$	her
course	NN	course
friends	NNS	friend
instead	RB	instead
,	,	,
which	WDT	which
I	PP	I
thought	VBD	think
was	VBD	be
fair	JJ	fair
enough	RB	enough
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
Then	RB	then
later	RBR	later
on	IN	on
I	PP	I
found	VBD	find
out	IN	out
she	PP	she
was	VBD	be
actually	RB	actually
living	VBG	live
with	IN	with
the	DT	the
same	JJ	same
people	NNS	people
I	PP	I
’d	VBD	have
been	VBN	be
hearing	VBG	hear
constantly	RB	constantly
slagging	VBG	slag
her	PP	her
off	RP	off
.	SENT	.
