oh	UH	oh
yeah	RB	yeah
so	IN	so
that	DT	that
thing	NN	thing
we	PP	we
did	VBD	do
at	IN	at
school	NN	school
,	,	,
we	PP	we
had	VBD	have
this	DT	this
sheet	NN	sheet
and	CC	and
we	PP	we
had	VBD	have
to	TO	to
put	VB	put
the	DT	the
date	NN	date
and	CC	and
our	PP$	our
name	NN	name
and	CC	and
the	DT	the
term	NN	term
and	CC	and
the	DT	the
title	NN	title
on	IN	on
it	PP	it
.	SENT	.
then	RB	then
we	PP	we
had	VBD	have
to	TO	to
write	VB	write
a	DT	a
letter	NN	letter
and	CC	and
there	EX	there
were	VBD	be
these	DT	these
little	JJ	little
boxes	NNS	box
on	IN	on
the	DT	the
sheet	NN	sheet
that	WDT	that
said	VBD	say
“	``	"
I	PP	I
know	VBP	know
”	''	"
,	,	,
“	``	"
I	PP	I
think	VBP	think
”	''	"
,	,	,
“	``	"
I	PP	I
wonder	VBP	wonder
”	''	"
and	CC	and
“	``	"
I	PP	I
found	VBD	find
out	RP	out
”	''	"
and	CC	and
it	PP	it
was	VBD	be
all	RB	all
about	IN	about
metal	NN	metal
.	SENT	.
we	PP	we
had	VBD	have
to	TO	to
put	VB	put
what	WP	what
we	PP	we
know	VBP	know
about	IN	about
metal	NN	metal
,	,	,
what	WP	what
we	PP	we
think	VBP	think
and	CC	and
what	WP	what
we	PP	we
wonder	VBP	wonder
about	IN	about
it	PP	it
,	,	,
and	CC	and
then	RB	then
what	WP	what
we	PP	we
found	VBD	find
out	RP	out
.	SENT	.
but	CC	but
I	PP	I
actually	RB	actually
ca	MD	ca
n’t	RB	n't
remember	VB	remember
what	WP	what
I	PP	I
wrote	VBD	write
in	IN	in
any	DT	any
of	IN	of
them	PP	them
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
not	RB	not
sure	JJ	sure
if	IN	if
we	PP	we
did	VBD	do
that	IN	that
before	IN	before
or	CC	or
after	IN	after
the	DT	the
church	NN	church
thing	NN	thing
.	SENT	.
