when	WRB	when
I	PP	I
said	VBD	say
I	PP	I
’d	VBD	have
had	VBN	have
a	DT	a
good	JJ	good
night	NN	night
’s	POS	's
sleep	NN	sleep
,	,	,
what	WP	what
I	PP	I
’m	NN	<unknown>
trying	VBG	try
to	TO	to
explain	VB	explain
is	VBZ	be
that	IN	that
it	PP	it
was	VBD	be
n’t	RB	n't
because	IN	because
everything	NN	everything
was	VBD	be
suddenly	RB	suddenly
sorted	VBN	sort
in	IN	in
my	PP$	my
head	NN	head
or	CC	or
because	IN	because
I	PP	I
’d	VBD	have
had	VBN	have
some	DT	some
great	JJ	great
revelation	NN	revelation
about	IN	about
us	PP	us
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
because	RB	because
,	,	,
after	IN	after
seeing	VBG	see
you	PP	you
on	IN	on
Saturday	NP	Saturday
evening	NN	evening
and	CC	and
realising	VBG	realise
you	PP	you
were	VBD	be
alright	RB	alright
and	CC	and
your	PP$	your
life	NN	life
was	VBD	be
going	VBG	go
on	IN	on
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
guilt	NN	guilt
I	PP	I
’d	VBD	have
been	VBN	be
carrying	VBG	carry
eased	VBN	ease
off	RP	off
.	SENT	.
Earlier	RBR	earlier
in	IN	in
the	DT	the
day	NN	day
I	PP	I
’d	VBD	have
felt	VBN	feel
a	DT	a
bit	NN	bit
buoyed	VBD	buoy
and	CC	and
took	VBD	take
that	IN	that
as	IN	as
a	DT	a
sign	NN	sign
I	PP	I
was	VBD	be
just	RB	just
feeling	VBG	feel
better	JJR	good
,	,	,
but	CC	but
actually	RB	actually
it	PP	it
was	VBD	be
the	DT	the
guilt	NN	guilt
lifting	NN	lifting
.	SENT	.
And	CC	and
that	DT	that
’s	VBZ	be
the	DT	the
thing	NN	thing
–	:	-
the	DT	the
improvement	NN	improvement
was	VBD	be
more	JJR	more
about	IN	about
reduced	VBN	reduce
guilt	NN	guilt
than	IN	than
a	DT	a
strong	JJ	strong
,	,	,
clear	JJ	clear
desire	NN	desire
to	TO	to
come	VB	come
back	RB	back
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
my	PP$	my
reason	NN	reason
and	CC	and
feelings	NNS	feeling
really	RB	really
should	MD	should
be	VB	be
pointing	VBG	point
to	TO	to
.	SENT	.
