no	RB	no
it	PP	it
’s	VBZ	be
not	RB	not
like	IN	like
the	DT	the
distance	NN	distance
or	CC	or
that	IN	that
there	EX	there
’s	VBZ	be
nothing	NN	nothing
there	RB	there
or	CC	or
anything	NN	anything
like	IN	like
that	DT	that
,	,	,
it	PP	it
’s	VBZ	be
more	RBR	more
just	RB	just
that	IN	that
,	,	,
knowing	VBG	know
what	WP	what
I	PP	I
know	VBP	know
now	RB	now
,	,	,
I	PP	I
probably	RB	probably
would	MD	would
n’t	RB	n't
have	VB	have
picked	VBN	pick
it	PP	it
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
like	IN	like
if	IN	if
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
choosing	VBG	choose
,	,	,
I	PP	I
’d	VBD	have
already	RB	already
known	VBN	know
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
language	NN	language
and	CC	and
linguistics	NNS	linguistics
,	,	,
or	CC	or
even	RB	even
just	RB	just
straight	JJ	straight
linguistics	NNS	linguistics
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
I	PP	I
’d	MD	will
have	VB	have
ended	VBN	end
up	RP	up
at	IN	at
that	DT	that
uni	NN	uni
.	SENT	.
it	PP	it
’s	VBZ	be
not	RB	not
that	IN	that
I	PP	I
hate	VBP	hate
it	PP	it
or	CC	or
I	PP	I
’m	NN	<unknown>
sat	VBD	sit
there	RB	there
thinking	VBG	think
I	PP	I
’ve	VBP	have
massively	RB	massively
messed	VBN	mess
up	RP	up
or	CC	or
anything	NN	anything
dramatic	JJ	dramatic
like	IN	like
that	DT	that
,	,	,
it	PP	it
’s	VBZ	be
just	RB	just
,	,	,
looking	VBG	look
back	RB	back
,	,	,
I	PP	I
can	MD	can
see	VB	see
I	PP	I
’d	MD	will
have	VB	have
made	VBN	make
a	DT	a
different	JJ	different
choice	NN	choice
.	SENT	.
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
I	PP	I
did	VBD	do
n’t	RB	n't
know	VB	know
any	DT	any
of	IN	of
that	DT	that
then	RB	then
,	,	,
so	RB	so
I	PP	I
ca	MD	ca
n’t	RB	n't
really	RB	really
sit	VB	sit
here	RB	here
and	CC	and
regret	VB	regret
it	PP	it
loads	NNS	load
,	,	,
because	IN	because
I	PP	I
did	VBD	do
n’t	RB	n't
have	VB	have
that	DT	that
information	NN	information
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
it	PP	it
’s	VBZ	be
just	RB	just
one	CD	one
of	IN	of
those	DT	those
things	NNS	thing
.	SENT	.
