Yes	UH	yes
,	,	,
there	EX	there
are	VBP	be
loads	NNS	load
of	IN	of
unemployed	JJ	unemployed
people	NNS	people
in	IN	in
Britain	NP	Britain
,	,	,
but	CC	but
that	WDT	that
does	VBZ	do
n’t	RB	n't
automatically	RB	automatically
mean	VB	mean
they	PP	they
’re	VBP	be
suitable	JJ	suitable
.	SENT	.
We	PP	we
advertised	VBD	advertise
for	IN	for
a	DT	a
receptionist	NN	receptionist
in	IN	in
our	PP$	our
building	NN	building
recently	RB	recently
,	,	,
and	CC	and
I	PP	I
went	VBD	go
through	IN	through
the	DT	the
CVs	NP	CV
for	IN	for
the	DT	the
admin	NN	admin
role	NN	role
.	SENT	.
You	PP	you
could	MD	could
often	RB	often
tell	VB	tell
from	IN	from
the	DT	the
covering	VBG	cover
emails	NNS	email
alone	RB	alone
that	IN	that
some	DT	some
of	IN	of
them	PP	them
were	VBD	be
basically	RB	basically
illiterate	JJ	illiterate
.	SENT	.
And	CC	and
my	PP$	my
administrator	NN	administrator
absolutely	RB	absolutely
has	VBZ	have
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
write	VB	write
properly	RB	properly
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
really	RB	really
basic	JJ	basic
things	NNS	thing
–	:	-
like	IN	like
using	VBG	use
a	DT	a
capital	NN	capital
“	``	"
I	NP	I
”	''	"
when	WRB	when
you	PP	you
’re	VBP	be
referring	VBG	refer
to	TO	to
yourself	PP	yourself
.	SENT	.
If	IN	if
they	PP	they
ca	MD	ca
n’t	RB	n't
manage	VB	manage
that	IN	that
in	IN	in
an	DT	an
application	NN	application
,	,	,
it	PP	it
’s	VBZ	be
not	RB	not
a	DT	a
great	JJ	great
sign	NN	sign
.	SENT	.
