there	EX	there
was	VBD	be
this	DT	this
documentary	NN	documentary
I	PP	I
saw	VBD	see
where	WRB	where
some	DT	some
of	IN	of
the	DT	the
paedophiles	NNS	<unknown>
actually	RB	actually
recognised	VBD	recognise
that	IN	that
what	WP	what
they	PP	they
wanted	VBD	want
to	TO	to
do	VB	do
to	TO	to
children	NNS	child
was	VBD	be
wrong	JJ	wrong
,	,	,
and	CC	and
that	IN	that
it	PP	it
came	VBD	come
from	IN	from
this	DT	this
deep	JJ	deep
psychological	JJ	psychological
problem	NN	problem
they	PP	they
could	MD	could
n’t	RB	n't
control	VB	control
.	SENT	.
they	PP	they
knew	VBD	know
they	PP	they
were	VBD	be
a	DT	a
danger	NN	danger
and	CC	and
did	VBD	do
n’t	RB	n't
want	VB	want
to	TO	to
hurt	VB	hurt
anyone	NN	anyone
,	,	,
so	RB	so
they	PP	they
made	VBD	make
the	DT	the
decision	NN	decision
to	TO	to
be	VB	be
castrated	VBN	castrate
.	SENT	.
the	DT	the
whole	JJ	whole
point	NN	point
for	IN	for
them	PP	them
was	VBD	be
that	IN	that
if	IN	if
they	PP	they
were	VBD	be
castrated	VBN	castrate
,	,	,
they	PP	they
would	MD	would
n’t	RB	n't
get	VB	get
aroused	VBN	arouse
around	IN	around
children	NNS	child
anymore	RB	anymore
and	CC	and
would	MD	would
n’t	RB	n't
even	RB	even
be	VB	be
able	JJ	able
to	TO	to
act	VB	act
on	IN	on
those	DT	those
urges	NNS	urge
,	,	,
so	RB	so
it	PP	it
was	VBD	be
like	IN	like
their	PP$	their
way	NN	way
of	IN	of
stopping	VBG	stop
themselves	PP	themselves
.	SENT	.
