oh	UH	oh
that	WDT	that
’s	VBZ	be
a	DT	a
lovely	JJ	lovely
place	NN	place
there	RB	there
,	,	,
is	VBZ	be
n’t	RB	n't
it	PP	it
,	,	,
in	IN	in
the	DT	the
photo	NN	photo
.	SENT	.
And	CC	and
there	EX	there
’s	VBZ	be
your	PP$	your
mum	NN	mum
trying	VBG	try
to	TO	to
play	VB	play
the	DT	the
guitar	NN	guitar
while	IN	while
you	PP	you
’ve	VBP	have
got	VBN	get
your	PP$	your
earphones	NNS	earphone
on	IN	on
,	,	,
you	PP	you
always	RB	always
did	VBD	do
like	IN	like
your	PP$	your
own	JJ	own
music	NN	music
.	SENT	.
You	PP	you
must	MD	must
have	VB	have
worn	VBN	wear
trainers	NNS	trainer
an	DT	an
awful	JJ	awful
lot	NN	lot
back	RB	back
then	RB	then
.	SENT	.
When	WRB	when
you	PP	you
were	VBD	be
four	CD	four
,	,	,
your	PP$	your
granny	NN	granny
and	CC	and
I	PP	I
were	VBD	be
very	RB	very
kind	JJ	kind
with	IN	with
you	PP	you
,	,	,
we	PP	we
really	RB	really
were	VBD	be
,	,	,
and	CC	and
it	PP	it
was	VBD	be
such	JJ	such
fun	NN	fun
being	VBG	be
with	IN	with
you	PP	you
.	SENT	.
You	PP	you
even	RB	even
joined	VBD	join
in	IN	in
with	IN	with
my	PP$	my
samba	NN	samba
band	NN	band
sometimes	RB	sometimes
,	,	,
going	VBG	go
up	RP	up
and	CC	and
down	RP	down
to	TO	to
school	NN	school
.	SENT	.
Did	VBD	do
you	PP	you
like	IN	like
school	NN	school
,	,	,
then	RB	then
?	SENT	?
