There	EX	there
’s	VBZ	be
this	DT	this
group	NN	group
of	IN	of
people	NNS	people
and	CC	and
their	PP$	their
beliefs	NNS	belief
are	VBP	be
honestly	RB	honestly
terrifying	JJ	terrifying
.	SENT	.
They	PP	they
say	VBP	say
that	IN	that
if	IN	if
their	PP$	their
own	JJ	own
child	NN	child
was	VBD	be
instantly	RB	instantly
killed	VBN	kill
by	IN	by
a	DT	a
car	NN	car
,	,	,
they	PP	they
would	MD	would
rejoice	VB	rejoice
.	SENT	.
They	PP	they
actually	RB	actually
think	VBP	think
every	DT	every
single	JJ	single
event	NN	event
is	VBZ	be
a	DT	a
decision	NN	decision
made	VBN	make
by	IN	by
God	NP	God
,	,	,
and	CC	and
because	IN	because
of	IN	of
that	DT	that
,	,	,
everything	NN	everything
has	VBZ	have
to	TO	to
be	VB	be
celebrated	VBN	celebrate
,	,	,
even	RB	even
something	NN	something
as	IN	as
horrible	JJ	horrible
as	IN	as
that	DT	that
.	SENT	.
On	IN	on
top	NN	top
of	IN	of
that	DT	that
,	,	,
they	PP	they
completely	RB	completely
banish	VBP	banish
anyone	NN	anyone
who	WP	who
leaves	VBZ	leave
their	PP$	their
church	NN	church
,	,	,
even	RB	even
if	IN	if
it	PP	it
’s	VBZ	be
their	PP$	their
own	JJ	own
daughter	NN	daughter
.	SENT	.
If	IN	if
she	PP	she
decides	VBZ	decide
to	TO	to
leave	VB	leave
,	,	,
they	PP	they
cut	VBD	cut
off	RP	off
all	DT	all
contact	NN	contact
with	IN	with
her	PP	her
.	SENT	.
They	PP	they
insist	VBP	insist
they	PP	they
’re	VBP	be
not	RB	not
sad	JJ	sad
about	IN	about
it	PP	it
at	IN	at
all	DT	all
,	,	,
because	IN	because
in	IN	in
their	PP$	their
minds	NNS	mind
she	PP	she
’s	VBZ	be
now	RB	now
a	DT	a
sinner	NN	sinner
who	WP	who
’s	VBZ	be
going	VBG	go
to	TO	to
hell	NN	hell
,	,	,
and	CC	and
they	PP	they
do	VBP	do
n’t	RB	n't
want	VB	want
someone	NN	someone
like	IN	like
that	IN	that
anywhere	RB	anywhere
near	IN	near
their	PP$	their
church	NN	church
or	CC	or
their	PP$	their
community	NN	community
.	SENT	.
