When	WRB	when
we	PP	we
finally	RB	finally
moved	VBD	move
,	,	,
I	PP	I
said	VBD	say
to	TO	to
the	DT	the
kids	NNS	kid
,	,	,
“	``	"
Right	RB	right
,	,	,
this	DT	this
is	VBZ	be
it	PP	it
,	,	,
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
our	PP$	our
permanent	JJ	permanent
home	NN	home
now	RB	now
.	SENT	.
”	''	"
I	PP	I
did	VBD	do
n’t	RB	n't
want	VB	want
it	PP	it
to	TO	to
feel	VB	feel
like	IN	like
yet	RB	yet
another	DT	another
sudden	JJ	sudden
upheaval	NN	upheaval
.	SENT	.
I	PP	I
also	RB	also
told	VBD	tell
them	PP	them
,	,	,
“	``	"
Look	VB	look
,	,	,
you	PP	you
’ve	VBP	have
got	VBN	get
a	DT	a
choice	NN	choice
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
,	,	,
we	PP	we
can	MD	can
think	VB	think
about	RB	about
changing	VBG	change
to	TO	to
the	DT	the
local	JJ	local
school	NN	school
.	SENT	.
”	''	"
I	PP	I
really	RB	really
wanted	VBD	want
them	PP	them
to	TO	to
have	VB	have
some	DT	some
say	VBP	say
in	IN	in
it	PP	it
,	,	,
because	IN	because
up	RB	up
to	TO	to
then	RB	then
it	PP	it
had	VBD	have
all	RB	all
been	VBN	be
,	,	,
“	``	"
Now	RB	now
we	PP	we
’re	VBP	be
going	VBG	go
into	IN	into
the	DT	the
refuge	NN	refuge
,	,	,
now	RB	now
we	PP	we
’ve	VBP	have
been	VBN	be
found	VBN	find
,	,	,
now	RB	now
we	PP	we
’ve	VBP	have
got	VBN	get
to	TO	to
move	VB	move
again	RB	again
,	,	,
”	''	"
and	CC	and
they	PP	they
’d	VBD	have
just	RB	just
been	VBN	be
shunted	VBN	shunt
between	IN	between
relatives	NNS	relative
and	CC	and
refuges	NNS	refuge
without	IN	without
any	DT	any
control	NN	control
over	IN	over
what	WP	what
was	VBD	be
happening	VBG	happen
.	SENT	.
