No	UH	no
,	,	,
I	PP	I
was	VBD	be
n’t	RB	n't
married	VBN	marry
then	RB	then
.	SENT	.
I	PP	I
actually	RB	actually
met	VBD	meet
him	PP	him
in	IN	in
Queensland	NP	Queensland
House	NP	House
on	IN	on
the	DT	the
Strand	NP	Strand
,	,	,
just	RB	just
before	IN	before
we	PP	we
both	CC	both
went	VBD	go
out	RP	out
to	TO	to
Brisbane	NP	Brisbane
.	SENT	.
I	PP	I
’d	VBD	have
arranged	VBN	arrange
a	DT	a
proper	JJ	proper
house	NN	house
and	CC	and
car	NN	car
swap	NN	swap
with	IN	with
a	DT	a
family	NN	family
,	,	,
everything	NN	everything
organised	VBD	organise
.	SENT	.
He	PP	he
,	,	,
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
thought	VBD	think
he	PP	he
’d	VBD	have
fixed	VBN	fix
up	RP	up
a	DT	a
house	NN	house
swap	NN	swap
as	IN	as
well	RB	well
but	CC	but
in	IN	in
reality	NN	reality
he	PP	he
was	VBD	be
planning	VBG	plan
to	TO	to
buy	VB	buy
his	PP$	his
own	JJ	own
car	NN	car
once	IN	once
he	PP	he
got	VBD	get
there	RB	there
.	SENT	.
So	RB	so
he	PP	he
went	VBD	go
ahead	RB	ahead
,	,	,
bought	VBD	buy
his	PP$	his
own	JJ	own
car	NN	car
in	IN	in
Australia	NP	Australia
,	,	,
and	CC	and
only	RB	only
then	RB	then
discovered	VBD	discover
he	PP	he
did	VBD	do
n’t	RB	n't
really	RB	really
have	VB	have
a	DT	a
house	NN	house
to	TO	to
himself	PP	himself
at	IN	at
all	DT	all
,	,	,
because	IN	because
the	DT	the
wife	NN	wife
came	VBD	come
back	RB	back
.	SENT	.
