yeah	RB	yeah
it	PP	it
was	VBD	be
three	CD	three
at	IN	at
the	DT	the
start	NN	start
,	,	,
just	RB	just
the	DT	the
three	CD	three
of	IN	of
us	PP	us
.	SENT	.
when	WRB	when
I	PP	I
went	VBD	go
last	JJ	last
week	NN	week
though	RB	though
,	,	,
my	PP$	my
usual	JJ	usual
spot	NN	spot
at	IN	at
the	DT	the
front	NN	front
was	VBD	be
taken	VBN	take
,	,	,
so	RB	so
I	PP	I
just	RB	just
went	VBD	go
and	CC	and
stood	VBD	stand
at	IN	at
the	DT	the
back	NN	back
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
really	RB	really
mind	VB	mind
being	VBG	be
at	IN	at
the	DT	the
back	NN	back
,	,	,
it	PP	it
’s	VBZ	be
fine	JJ	fine
,	,	,
but	CC	but
I	PP	I
ended	VBD	end
up	RP	up
offering	VBG	offer
to	TO	to
go	VB	go
to	TO	to
the	DT	the
front	NN	front
because	IN	because
the	DT	the
person	NN	person
who	WP	who
’d	VBD	have
ended	VBN	end
up	RP	up
in	IN	in
my	PP$	my
usual	JJ	usual
spot	NN	spot
really	RB	really
does	VBZ	do
n’t	RB	n't
like	IN	like
being	VBG	be
at	IN	at
the	DT	the
front	NN	front
.	SENT	.
it	PP	it
’s	VBZ	be
funny	JJ	funny
,	,	,
because	IN	because
me	PP	me
and	CC	and
the	DT	the
other	JJ	other
two	CD	two
who	WP	who
usually	RB	usually
stand	VBP	stand
at	IN	at
the	DT	the
front	NN	front
do	VBP	do
n’t	RB	n't
actually	RB	actually
do	VB	do
it	PP	it
out	RP	out
of	IN	of
some	DT	some
massive	JJ	massive
preference	NN	preference
for	IN	for
being	VBG	be
up	RB	up
there	RB	there
.	SENT	.
it	PP	it
’s	VBZ	be
just	RB	just
that	IN	that
when	WRB	when
there	EX	there
were	VBD	be
only	RB	only
three	CD	three
of	IN	of
us	PP	us
,	,	,
we	PP	we
kind	JJ	kind
of	IN	of
had	VBD	have
to	TO	to
be	VB	be
both	CC	both
the	DT	the
front	NN	front
and	CC	and
the	DT	the
back	NN	back
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
you	PP	you
did	VBD	do
n’t	RB	n't
really	RB	really
have	VB	have
a	DT	a
choice	NN	choice
,	,	,
you	PP	you
just	RB	just
filled	VBD	fill
all	PDT	all
the	DT	the
spaces	NNS	space
.	SENT	.
I	PP	I
actually	RB	actually
think	VBP	think
that	DT	that
’s	VBZ	be
quite	RB	quite
helpful	JJ	helpful
though	RB	though
,	,	,
being	VBG	be
up	RB	up
front	JJ	front
like	IN	like
that	DT	that
.	SENT	.
