yes	UH	yes
it	PP	it
’s	VBZ	be
for	IN	for
someone	NN	someone
who	WP	who
’s	VBZ	be
in	IN	in
the	DT	the
process	NN	process
of	IN	of
being	VBG	be
referred	VBN	refer
,	,	,
they	PP	they
have	VBP	have
n’t	RB	n't
actually	RB	actually
had	VBD	have
anything	NN	anything
done	VBN	do
yet	RB	yet
,	,	,
we	PP	we
’re	VBP	be
just	RB	just
trying	VBG	try
to	TO	to
sort	VB	sort
out	RP	out
where	WRB	where
they	PP	they
should	MD	should
go	VB	go
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
check	VB	check
whether	IN	whether
you	PP	you
actually	RB	actually
do	VBP	do
that	IN	that
specific	JJ	specific
hand	NN	hand
operation	NN	operation
there	RB	there
,	,	,
the	DT	the
dupuytren	NP	<unknown>
’s	POS	's
,	,	,
Viking	NN	Viking
’s	POS	's
disease	NN	disease
,	,	,
that	DT	that
contracture	NN	contracture
thing	NN	thing
,	,	,
because	IN	because
we	PP	we
’re	VBP	be
really	RB	really
just	RB	just
looking	VBG	look
for	IN	for
somewhere	RB	somewhere
to	TO	to
have	VB	have
it	PP	it
done	VBN	do
and	CC	and
need	VBP	need
to	TO	to
know	VB	know
if	IN	if
a	DT	a
referral	NN	referral
to	TO	to
you	PP	you
would	MD	would
be	VB	be
the	DT	the
right	JJ	right
place	NN	place
.	SENT	.
okay	RB	okay
,	,	,
that	WDT	that
’s	VBZ	be
great	JJ	great
,	,	,
thanks	NNS	thanks
very	RB	very
much	RB	much
.	SENT	.
do	VB	do
you	PP	you
have	VBP	have
[	SYM	[
name]	NN	<unknown>
’s	POS	's
phone	NN	phone
number	NN	number
at	IN	at
all	DT	all
,	,	,
if	IN	if
we	PP	we
need	VBP	need
it	PP	it
?	SENT	?
