There	EX	there
was	VBD	be
this	DT	this
plenary	NN	plenary
with	IN	with
the	DT	the
new	JJ	new
chair	NN	chair
or	CC	or
chief	JJ	chief
executive	NN	executive
of	IN	of
English	NP	English
UK	NP	UK
speaking	NN	speaking
,	,	,
and	CC	and
he	PP	he
was	VBD	be
just	RB	just
talking	VBG	talk
in	IN	in
a	DT	a
pretty	JJ	pretty
standard	NN	standard
,	,	,
nothing-special	NN	nothing-special
way	NN	way
.	SENT	.
Then	RB	then
this	DT	this
incredibly	RB	incredibly
pompous	JJ	pompous
bloke	NN	bloke
in	IN	in
the	DT	the
audience	NN	audience
stood	VBD	stand
up	RP	up
and	CC	and
launched	VBD	launch
into	IN	into
this	DT	this
unbelievably	RB	unbelievably
long	JJ	long
,	,	,
stupid	JJ	stupid
question	NN	question
that	WDT	that
was	VBD	be
obviously	RB	obviously
trying	VBG	try
to	TO	to
set	VB	set
a	DT	a
trap	NN	trap
.	SENT	.
He	PP	he
even	RB	even
started	VBD	start
citing	VBG	cite
some	DT	some
research	NN	research
from	IN	from
1985	CD	@card@
,	,	,
as	RB	as
if	IN	if
that	IN	that
made	VBN	make
him	PP	him
sound	VBP	sound
terribly	RB	terribly
clever	JJ	clever
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
plenary	JJ	plenary
speaker	NN	speaker
just	RB	just
very	RB	very
politely	RB	politely
but	CC	but
completely	RB	completely
took	VBD	take
his	PP$	his
question	NN	question
apart	RB	apart
,	,	,
point	NN	point
by	IN	by
point	NN	point
,	,	,
and	CC	and
demolished	VBD	demolish
him	PP	him
.	SENT	.
It	PP	it
was	VBD	be
absolutely	RB	absolutely
brilliant	JJ	brilliant
,	,	,
really	RB	really
good	JJ	good
to	TO	to
watch	VB	watch
.	SENT	.
