When	WRB	when
I	PP	I
was	VBD	be
about	RB	about
thirty	CD	thirty
,	,	,
my	PP$	my
next-door	JJ	next-door
neighbour	NN	neighbour
went	VBD	go
through	IN	through
this	DT	this
.	SENT	.
She	PP	she
was	VBD	be
very	RB	very
highly	RB	highly
strung	VBN	string
,	,	,
very	RB	very
anxious	JJ	anxious
,	,	,
had	VBD	have
OCD	NNS	<unknown>
,	,	,
and	CC	and
for	IN	for
years	NNS	year
doctors	NNS	doctor
just	RB	just
wrote	VBD	write
her	PP	her
off	RP	off
as	IN	as
hysterical	JJ	hysterical
and	CC	and
neurotic	JJ	neurotic
.	SENT	.
All	PDT	all
the	DT	the
symptoms	NNS	symptom
she	PP	she
kept	VBD	keep
going	VBG	go
with	IN	with
were	VBD	be
interpreted	VBN	interpret
as	IN	as
part	NN	part
of	IN	of
that	DT	that
.	SENT	.
Eventually	RB	eventually
they	PP	they
discovered	VBD	discover
she	PP	she
had	VBD	have
stage	NN	stage
four	CD	four
ovarian	JJ	ovarian
cancer	NN	cancer
,	,	,
and	CC	and
by	IN	by
then	RB	then
she	PP	she
was	VBD	be
basically	RB	basically
done	VBN	do
for	IN	for
;	:	;
she	PP	she
died	VBD	die
.	SENT	.
I	PP	I
find	VBP	find
that	IN	that
bloody	JJ	bloody
terrifying	JJ	terrifying
.	SENT	.
With	IN	with
breast	NN	breast
cancer	NN	cancer
you	PP	you
’re	VBP	be
told	VBN	tell
to	TO	to
look	VB	look
for	IN	for
a	DT	a
lump	NN	lump
,	,	,
with	IN	with
cervical	JJ	cervical
cancer	NN	cancer
you	PP	you
go	VBP	go
for	IN	for
a	DT	a
smear	NN	smear
.	SENT	.
But	CC	but
I	PP	I
only	RB	only
recently	RB	recently
even	RB	even
heard	VBN	hear
there	EX	there
was	VBD	be
such	PDT	such
a	DT	a
thing	NN	thing
as	IN	as
vulval	JJ	vulval
or	CC	or
vaginal	JJ	vaginal
cancer	NN	cancer
,	,	,
and	CC	and
I	PP	I
still	RB	still
do	VBP	do
n’t	RB	n't
know	VB	know
the	DT	the
symptoms	NNS	symptom
.	SENT	.
Ovarian	JJ	ovarian
symptoms	NNS	symptom
are	VBP	be
so	RB	so
vague	JJ	vague
they	PP	they
get	VBP	get
labelled	VBN	label
IBS	NNS	<unknown>
or	CC	or
“	``	"
her	PP$	her
age	NN	age
”	''	"
instead	RB	instead
of	IN	of
triggering	VBG	trigger
blood	NN	blood
tests	NNS	test
or	CC	or
ultrasounds	NNS	ultrasound
.	SENT	.
