Oh	UH	oh
I	PP	I
just	RB	just
want	VBP	want
the	DT	the
entire	JJ	entire
wardrobe	NN	wardrobe
from	IN	from
that	DT	that
show	NN	show
,	,	,
all	PDT	all
those	DT	those
fifties	NNS	fifty
outfits	NNS	outfit
are	VBP	be
so	RB	so
cool	JJ	cool
.	SENT	.
The	DT	the
whole	JJ	whole
thing	NN	thing
’s	VBZ	be
about	RB	about
this	DT	this
bloke	NN	bloke
who	WP	who
does	VBZ	do
this	DT	this
really	RB	really
odd	JJ	odd
social	JJ	social
experiment	NN	experiment
,	,	,
getting	VBG	get
all	PDT	all
these	DT	these
different	JJ	different
people	NNS	people
from	IN	from
different	JJ	different
backgrounds	NNS	background
and	CC	and
subjects	NNS	subject
to	TO	to
come	VB	come
and	CC	and
live	VB	live
with	IN	with
him	PP	him
as	IN	as
his	PP$	his
flatmates	NNS	flatmate
in	IN	in
the	DT	the
fifties	NNS	fifty
.	SENT	.
And	CC	and
then	RB	then
it	PP	it
keeps	VBZ	keep
jumping	VBG	jump
forward	RB	forward
to	TO	to
when	WRB	when
he	PP	he
’s	VBZ	be
died	VBN	die
,	,	,
and	CC	and
all	PDT	all
those	DT	those
old	JJ	old
flatmates	NNS	flatmate
are	VBP	be
about	RB	about
sixty‑five	JJ	<unknown>
.	SENT	.
So	RB	so
you	PP	you
see	VBP	see
them	PP	them
as	IN	as
students	NNS	student
back	RB	back
then	RB	then
,	,	,
and	CC	and
then	RB	then
as	IN	as
these	DT	these
older	JJR	old
people	NNS	people
later	RBR	later
on	RB	on
,	,	,
all	RB	all
tied	VBN	tie
back	RB	back
to	TO	to
that	DT	that
experiment	NN	experiment
.	SENT	.
