well	RB	well
I	PP	I
was	VBD	be
meant	VBN	mean
to	TO	to
be	VB	be
going	VBG	go
out	RP	out
on	IN	on
Saturday	NP	Saturday
,	,	,
you	PP	you
know	VBP	know
,	,	,
getting	VBG	get
ready	JJ	ready
here	RB	here
,	,	,
putting	VBG	put
on	IN	on
this	DT	this
costume	NN	costume
and	CC	and
then	RB	then
going	VBG	go
to	TO	to
that	DT	that
club	NN	club
,	,	,
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
in	IN	in
the	DT	the
house	NN	house
on	IN	on
my	PP$	my
own	JJ	own
thinking	VBG	think
it	PP	it
all	DT	all
through	RP	through
.	SENT	.
And	CC	and
the	DT	the
more	JJR	more
I	PP	I
thought	VBD	think
about	IN	about
it	PP	it
–	:	-
the	DT	the
getting	VBG	get
dressed	VBN	dress
up	RP	up
,	,	,
then	RB	then
actually	RB	actually
going	VBG	go
there	RB	there
,	,	,
being	JJ	being
in	IN	in
this	DT	this
club	NN	club
full	JJ	full
of	IN	of
people	NNS	people
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
,	,	,
everyone	NN	everyone
staring	VBG	stare
,	,	,
having	VBG	have
to	TO	to
make	VB	make
conversation	NN	conversation
–	:	-
it	PP	it
just	RB	just
started	VBD	start
to	TO	to
really	RB	really
build	VB	build
up	RP	up
in	IN	in
my	PP$	my
head	NN	head
.	SENT	.
It	PP	it
sort	VBP	sort
of	IN	of
spiralled	VBN	spiral
into	IN	into
this	DT	this
proper	JJ	proper
panic	NN	panic
attack	NN	attack
.	SENT	.
My	PP$	my
breathing	NN	breathing
went	VBD	go
all	DT	all
funny	JJ	funny
,	,	,
I	PP	I
felt	VBD	feel
like	IN	like
I	PP	I
could	MD	could
n’t	RB	n't
get	VB	get
enough	JJ	enough
air	NN	air
,	,	,
felt	VBD	feel
really	RB	really
sick	JJ	sick
,	,	,
and	CC	and
I	PP	I
just	RB	just
started	VBD	start
crying	VBG	cry
.	SENT	.
I	PP	I
was	VBD	be
just	RB	just
going	VBG	go
round	NN	round
and	CC	and
round	NN	round
in	IN	in
my	PP$	my
head	NN	head
,	,	,
thinking	VBG	think
,	,	,
“	``	"
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
,	,	,
I	PP	I
really	RB	really
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
,	,	,
”	''	"
over	IN	over
and	CC	and
over	IN	over
,	,	,
and	CC	and
that	WDT	that
just	RB	just
made	VBD	make
it	PP	it
worse	JJR	bad
.	SENT	.
It	PP	it
was	VBD	be
like	IN	like
every	DT	every
part	NN	part
of	IN	of
the	DT	the
whole	JJ	whole
thing	NN	thing
–	:	-
the	DT	the
costume	NN	costume
,	,	,
the	DT	the
club	NN	club
,	,	,
the	DT	the
people	NNS	people
–	:	-
was	VBD	be
just	RB	just
too	RB	too
much	JJ	much
,	,	,
and	CC	and
I	PP	I
ended	VBD	end
up	RP	up
there	RB	there
on	IN	on
my	PP$	my
own	JJ	own
,	,	,
not	RB	not
able	JJ	able
to	TO	to
breathe	VB	breathe
properly	RB	properly
,	,	,
feeling	VBG	feel
awful	JJ	awful
,	,	,
and	CC	and
absolutely	RB	absolutely
sure	JJ	sure
I	PP	I
just	RB	just
did	VBD	do
n’t	RB	n't
want	VB	want
to	TO	to
go	VB	go
.	SENT	.
