when	WRB	when
you	PP	you
go	VBP	go
back	RB	back
for	IN	for
Christmas	NP	Christmas
they	PP	they
’re	VBP	be
honestly	RB	honestly
going	VBG	go
to	TO	to
be	VB	be
more	RBR	more
focused	VBN	focus
on	IN	on
it	PP	it
actually	RB	actually
being	VBG	be
Christmas	NP	Christmas
than	IN	than
on	RB	on
having	VBG	have
a	DT	a
massive	JJ	massive
go	NN	go
at	IN	at
you	PP	you
.	SENT	.
I	PP	I
really	RB	really
think	VBP	think
they	PP	they
’ll	JJ	<unknown>
mostly	RB	mostly
just	RB	just
be	VB	be
glad	JJ	glad
to	TO	to
have	VB	have
you	PP	you
home	RB	home
again	RB	again
,	,	,
rather	RB	rather
than	IN	than
sitting	VBG	sit
there	RB	there
being	VBG	be
angry	JJ	angry
at	IN	at
you	PP	you
straightaway	RB	straightaway
.	SENT	.
they	PP	they
’ve	VBP	have
missed	VBN	miss
you	PP	you
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
it	PP	it
’s	VBZ	be
not	RB	not
like	IN	like
you	PP	you
walk	VBP	walk
through	IN	through
the	DT	the
door	NN	door
and	CC	and
the	DT	the
first	JJ	first
thing	NN	thing
they	PP	they
’re	VBP	be
going	VBG	go
to	TO	to
do	VB	do
is	VBZ	be
start	VB	start
accusing	VBG	accuse
you	PP	you
of	IN	of
having	VBG	have
ruined	VBN	ruin
your	PP$	your
life	NN	life
.	SENT	.
those	DT	those
kinds	NNS	kind
of	IN	of
heavier	JJR	heavy
conversations	NNS	conversation
might	MD	might
happen	VB	happen
later	RBR	later
on	RB	on
,	,	,
maybe	RB	maybe
after	IN	after
the	DT	the
holidays	NNS	holiday
,	,	,
but	CC	but
at	IN	at
least	JJS	least
over	IN	over
Christmas	NP	Christmas
itself	PP	itself
the	DT	the
whole	JJ	whole
thing	NN	thing
is	VBZ	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
distraction	NN	distraction
.	SENT	.
