there	EX	there
was	VBD	be
this	DT	this
older	JJR	old
chap	NN	chap
,	,	,
one	CD	one
of	IN	of
the	DT	the
guests	NNS	guest
,	,	,
and	CC	and
while	IN	while
everyone	NN	everyone
else	RB	else
was	VBD	be
hauling	VBG	haul
stuff	NN	stuff
down	IN	down
all	PDT	all
those	DT	those
steps	NNS	step
,	,	,
he	PP	he
just	RB	just
quietly	RB	quietly
set	VB	set
himself	PP	himself
a	DT	a
different	JJ	different
job	NN	job
.	SENT	.
the	DT	the
path	NN	path
had	VBD	have
got	VBN	get
completely	RB	completely
lost	VBN	lose
under	IN	under
the	DT	the
grass	NN	grass
,	,	,
really	RB	really
overgrown	VBN	overgrow
,	,	,
and	CC	and
instead	RB	instead
of	IN	of
joining	VBG	join
in	IN	in
with	IN	with
the	DT	the
carrying	NN	carrying
he	PP	he
started	VBD	start
clearing	VBG	clear
it	PP	it
.	SENT	.
he	PP	he
said	VBD	say
,	,	,
“	``	"
it	PP	it
’s	VBZ	be
not	RB	not
my	PP$	my
job	NN	job
,	,	,
but	CC	but
I	PP	I
like	VBP	like
to	TO	to
do	VB	do
something	NN	something
when	WRB	when
I	PP	I
arrive	VBP	arrive
,	,	,
”	''	"
and	CC	and
he	PP	he
decided	VBD	decide
that	IN	that
“	``	"
finding	VBG	find
the	DT	the
path	NN	path
”	''	"
would	MD	would
be	VB	be
his	PP$	his
task	NN	task
for	IN	for
the	DT	the
day	NN	day
.	SENT	.
by	IN	by
the	DT	the
time	NN	time
he	PP	he
’d	VBD	have
finished	VBN	finish
you	PP	you
could	MD	could
actually	RB	actually
see	VB	see
and	CC	and
use	VB	use
the	DT	the
path	NN	path
again	RB	again
,	,	,
all	DT	all
because	IN	because
he	PP	he
’d	VBD	have
taken	VBN	take
it	PP	it
on	IN	on
himself	PP	himself
.	SENT	.
