There	EX	there
are	VBP	be
a	DT	a
few	JJ	few
fairly	RB	fairly
basic	JJ	basic
theories	NNS	theory
in	IN	in
careers	NNS	career
guidance	NN	guidance
,	,	,
and	CC	and
they	PP	they
’re	VBP	be
really	RB	really
all	RB	all
about	RB	about
how	WRB	how
people	NNS	people
make	VBP	make
decisions	NNS	decision
.	SENT	.
One	CD	one
that	WDT	that
’s	VBZ	have
been	VBN	be
very	RB	very
influential	JJ	influential
,	,	,
and	CC	and
is	VBZ	be
used	VBN	use
a	DT	a
lot	NN	lot
in	IN	in
careers	NNS	career
services	NNS	service
,	,	,
is	VBZ	be
psychologically	RB	psychologically
based	VBN	base
.	SENT	.
It	PP	it
assumes	VBZ	assume
that	IN	that
once	RB	once
you	PP	you
’ve	VBP	have
reached	VBN	reach
a	DT	a
certain	JJ	certain
level	NN	level
academically	RB	academically
,	,	,
you	PP	you
become	VBP	become
more	RBR	more
independent	JJ	independent
and	CC	and
can	MD	can
make	VB	make
choices	NNS	choice
grounded	VBN	ground
in	IN	in
your	PP$	your
own	JJ	own
skills	NNS	skill
,	,	,
your	PP$	your
values	NNS	value
,	,	,
and	CC	and
what	WP	what
genuinely	RB	genuinely
interests	VBZ	interest
you	PP	you
.	SENT	.
That	DT	that
’s	VBZ	be
the	DT	the
ideal	JJ	ideal
model	NN	model
,	,	,
if	IN	if
you	PP	you
like	VBP	like
,	,	,
and	CC	and
much	RB	much
of	IN	of
our	PP$	our
practice	NN	practice
is	VBZ	be
built	VBN	build
around	IN	around
helping	VBG	help
students	NNS	student
clarify	VB	clarify
those	DT	those
things	NNS	thing
about	IN	about
themselves	PP	themselves
.	SENT	.
But	CC	but
you	PP	you
also	RB	also
have	VB	have
to	TO	to
be	VB	be
realistic	JJ	realistic
and	CC	and
recognise	VBP	recognise
that	IN	that
not	RB	not
everyone	NN	everyone
actually	RB	actually
makes	VBZ	make
decisions	NNS	decision
on	IN	on
that	DT	that
basis	NN	basis
.	SENT	.
Some	DT	some
students	NNS	student
will	MD	will
appear	VB	appear
to	TO	to
be	VB	be
going	VBG	go
through	IN	through
that	DT	that
reflective	JJ	reflective
,	,	,
individual	JJ	individual
process	NN	process
,	,	,
but	CC	but
in	IN	in
fact	NN	fact
their	PP$	their
choices	NNS	choice
are	VBP	be
driven	VBN	drive
by	IN	by
quite	RB	quite
different	JJ	different
factors	NNS	factor
,	,	,
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
keep	VB	keep
that	IN	that
in	IN	in
mind	NN	mind
when	WRB	when
you	PP	you
’re	VBP	be
working	VBG	work
with	IN	with
them	PP	them
.	SENT	.
