There	EX	there
are	VBP	be
published	JJ	published
resources	NNS	resource
for	IN	for
anything	NN	anything
really	RB	really
,	,	,
that	WDT	that
’s	VBZ	be
the	DT	the
thing	NN	thing
.	SENT	.
When	WRB	when
our	PP$	our
school	NN	school
moved	VBD	move
,	,	,
they	PP	they
decided	VBD	decide
to	TO	to
kit	NN	kit
us	PP	us
out	RB	out
and	CC	and
we	PP	we
were	VBD	be
given	VBN	give
this	DT	this
big	JJ	big
whiteboard	NN	whiteboard
resource	NN	resource
package	NN	package
.	SENT	.
It	PP	it
was	VBD	be
one	CD	one
of	IN	of
those	DT	those
widely	RB	widely
used	VBN	use
ones	NNS	one
that	IN	that
everyone	NN	everyone
raves	VBZ	rave
about	RB	about
–	:	-
“	``	"
oh	UH	oh
it	PP	it
’s	VBZ	be
wonderful	JJ	wonderful
,	,	,
it	PP	it
’s	VBZ	have
got	VBN	get
everything	NN	everything
ready-made	NN	ready-made
,	,	,
lesson	NN	lesson
plans	NNS	plan
,	,	,
materials	NNS	material
,	,	,
all	RB	all
done	VBN	do
for	IN	for
you	PP	you
.	SENT	.
”	''	"
On	IN	on
paper	NN	paper
it	PP	it
sounded	VBD	sound
marvellous	JJ	marvellous
,	,	,
because	IN	because
you	PP	you
think	VBP	think
,	,	,
well	RB	well
,	,	,
that	DT	that
’ll	NN	<unknown>
save	VB	save
so	RB	so
much	JJ	much
time	NN	time
and	CC	and
effort	NN	effort
.	SENT	.
But	CC	but
when	WRB	when
it	PP	it
came	VBD	come
down	RB	down
to	TO	to
actually	RB	actually
using	VBG	use
it	PP	it
with	IN	with
my	PP$	my
pupils	NNS	pupil
it	PP	it
was	VBD	be
completely	RB	completely
useless	JJ	useless
.	SENT	.
The	DT	the
reading	NN	reading
level	NN	level
of	IN	of
the	DT	the
texts	NNS	text
was	VBD	be
fine	JJ	fine
–	:	-
they	PP	they
were	VBD	be
pitched	VBN	pitch
at	IN	at
about	IN	about
five-	NN	five-
to	TO	to
six-year-olds	NNS	six-year-old
,	,	,
which	WDT	which
is	VBZ	be
where	WRB	where
my	PP$	my
kids	NNS	kid
were	VBD	be
in	IN	in
terms	NNS	term
of	IN	of
reading	VBG	read
ability	NN	ability
.	SENT	.
The	DT	the
problem	NN	problem
was	VBD	be
the	DT	the
content	NN	content
.	SENT	.
You	PP	you
just	RB	just
could	MD	could
n’t	RB	n't
use	VB	use
it	PP	it
with	IN	with
fifteen-	NN	<unknown>
and	CC	and
sixteen-year-olds	NNS	<unknown>
;	:	;
it	PP	it
was	VBD	be
totally	RB	totally
inappropriate	JJ	inappropriate
for	IN	for
them	PP	them
.	SENT	.
So	RB	so
even	RB	even
though	IN	though
it	PP	it
was	VBD	be
supposedly	RB	supposedly
this	DT	this
fantastic	JJ	fantastic
,	,	,
widely	RB	widely
used	VBN	use
package	NN	package
,	,	,
in	IN	in
reality	NN	reality
it	PP	it
was	VBD	be
no	RB	no
good	JJ	good
at	IN	at
all	DT	all
for	IN	for
our	PP$	our
particular	JJ	particular
group	NN	group
.	SENT	.
