There	EX	there
was	VBD	be
this	DT	this
boy	NN	boy
in	IN	in
my	PP$	my
class	NN	class
,	,	,
and	CC	and
one	CD	one
day	NN	day
he	PP	he
just	RB	just
stepped	VBD	step
out	RP	out
into	IN	into
the	DT	the
road	NN	road
without	IN	without
even	RB	even
seeing	VBG	see
a	DT	a
car	NN	car
coming	VBG	come
.	SENT	.
The	DT	the
car	NN	car
went	VBD	go
straight	RB	straight
over	IN	over
his	PP$	his
shoes	NNS	shoe
,	,	,
completely	RB	completely
ran	VBD	run
them	PP	them
over	RP	over
,	,	,
but	CC	but
somehow	RB	somehow
he	PP	he
was	VBD	be
totally	RB	totally
fine	JJ	fine
because	IN	because
his	PP$	his
shoes	NNS	shoe
were	VBD	be
way	RB	way
too	RB	too
big	JJ	big
for	IN	for
him	PP	him
.	SENT	.
He	PP	he
was	VBD	be
such	JJ	such
a	DT	a
sweet	JJ	sweet
boy	NN	boy
,	,	,
I	PP	I
really	RB	really
hope	VBP	hope
he	PP	he
’s	VBZ	be
okay	JJ	okay
now	RB	now
.	SENT	.
I	PP	I
remember	VBP	remember
at	IN	at
school	NN	school
he	PP	he
always	RB	always
used	VBD	use
to	TO	to
write	VB	write
these	DT	these
lists	NNS	list
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
He	PP	he
was	VBD	be
n’t	RB	n't
very	RB	very
handsome	JJ	handsome
,	,	,
though	RB	though
,	,	,
bless	VB	bless
him	PP	him
.	SENT	.
