Oh	UH	oh
my	PP$	my
god	NN	god
,	,	,
sausage	NN	sausage
club	NN	club
was	VBD	be
so	RB	so
good	JJ	good
,	,	,
like	IN	like
ridiculously	RB	ridiculously
good	JJ	good
,	,	,
I	PP	I
was	VBD	be
raving	VBG	rave
about	IN	about
it	PP	it
.	SENT	.
But	CC	but
the	DT	the
price	NN	price
is	VBZ	be
such	PDT	such
a	DT	a
joke	NN	joke
,	,	,
it	PP	it
totally	RB	totally
depends	VBZ	depend
who	WP	who
's	VBZ	be
on	IN	on
the	DT	the
till	NN	till
.	SENT	.
There	EX	there
’s	VBZ	be
this	DT	this
guy	NN	guy
who	WP	who
clearly	RB	clearly
fancies	VBZ	fancy
any	DT	any
woman	NN	woman
under	IN	under
forty	NN	forty
,	,	,
and	CC	and
when	WRB	when
he	PP	he
served	VBD	serve
me	PP	me
it	PP	it
was	VBD	be
way	NN	way
cheaper	JJR	cheap
than	IN	than
when	WRB	when
his	PP$	his
male	JJ	male
colleague	NN	colleague
rang	VBD	ring
it	PP	it
through	RP	through
.	SENT	.
My	PP$	my
male	JJ	male
friends	NNS	friend
were	VBD	be
fuming	VBG	fume
,	,	,
saying	VBG	say
it	PP	it
was	VBD	be
sexist	JJ	sexist
that	IN	that
women	NNS	woman
got	VBD	get
it	PP	it
cheaper	JJR	cheap
just	RB	just
because	IN	because
he	PP	he
fancied	VBD	fancy
them	PP	them
.	SENT	.
Then	RB	then
the	DT	the
next	JJ	next
time	NN	time
I	PP	I
went	VBD	go
,	,	,
Michael	NP	Michael
the	DT	the
manager	NN	manager
was	VBD	be
on	IN	on
,	,	,
and	CC	and
he	PP	he
tried	VBD	try
to	TO	to
charge	VB	charge
me	PP	me
loads	NNS	load
more	RBR	more
for	IN	for
exactly	RB	exactly
the	DT	the
same	JJ	same
breakfast	NN	breakfast
.	SENT	.
When	WRB	when
I	PP	I
questioned	VBD	question
it	PP	it
,	,	,
he	PP	he
redid	VBD	redo
it	PP	it
and	CC	and
suddenly	RB	suddenly
it	PP	it
was	VBD	be
the	DT	the
proper	JJ	proper
price	NN	price
and	CC	and
he	PP	he
apologised	VBD	apologise
,	,	,
which	WDT	which
really	RB	really
makes	VBZ	make
me	PP	me
think	VBP	think
he	PP	he
’s	VBZ	be
deliberately	RB	deliberately
overcharging	VBG	overcharge
people	NNS	people
.	SENT	.
