No	UH	no
,	,	,
I	PP	I
’ve	VBP	have
never	RB	never
actually	RB	actually
counted	VBN	count
them	PP	them
,	,	,
because	IN	because
there	EX	there
are	VBP	be
just	RB	just
loads	NNS	load
.	SENT	.
I	PP	I
use	VBP	use
two	CD	two
different	JJ	different
strengths	NNS	strength
–	:	-
1.5s	JJ	<unknown>
for	IN	for
work	NN	work
and	CC	and
2.5s	JJ	<unknown>
for	IN	for
really	RB	really
close	JJ	close
detail	NN	detail
–	:	-
so	RB	so
I	PP	I
tend	VBP	tend
to	TO	to
keep	VB	keep
several	JJ	several
pairs	NNS	pair
of	IN	of
each	DT	each
lying	VBG	lie
around	RP	around
.	SENT	.
I	PP	I
’ve	VBP	have
got	VBN	get
them	PP	them
in	IN	in
different	JJ	different
colours	NNS	colour
and	CC	and
styles	NNS	style
,	,	,
and	CC	and
because	IN	because
they	PP	they
’re	VBP	be
only	RB	only
a	DT	a
quid	NN	quid
a	DT	a
pair	NN	pair
from	IN	from
the	DT	the
Pound	NP	Pound
Shop	NP	Shop
I	PP	I
do	VBP	do
n’t	RB	n't
worry	VB	worry
too	RB	too
much	RB	much
.	SENT	.
On	IN	on
top	NN	top
of	IN	of
that	WDT	that
I	PP	I
use	VBP	use
various	JJ	various
magnifying	NN	magnifying
glasses	NNS	glass
for	IN	for
the	DT	the
really	RB	really
intricate	JJ	intricate
stuff	NN	stuff
,	,	,
so	RB	so
between	IN	between
the	DT	the
reading	NN	reading
glasses	NNS	glass
and	CC	and
the	DT	the
magnifiers	NNS	magnifier
it	PP	it
’s	VBZ	be
just	RB	just
not	RB	not
something	NN	something
I	PP	I
’ve	VBP	have
ever	RB	ever
sat	VBN	sit
down	RP	down
and	CC	and
totted	VBD	tot
up	RP	up
.	SENT	.
