what	WP	what
I	PP	I
'm	VBP	be
saying	VBG	say
is	VBZ	be
that	IN	that
it	PP	it
all	RB	all
comes	VBZ	come
from	IN	from
the	DT	the
same	JJ	same
place	NN	place
:	:	:
this	DT	this
idea	NN	idea
that	IN	that
men	NNS	man
are	VBP	be
superior	JJ	superior
to	TO	to
women	NNS	woman
.	SENT	.
That	DT	that
’s	VBZ	be
the	DT	the
root	NN	root
.	SENT	.
So	RB	so
when	WRB	when
a	DT	a
man	NN	man
is	VBZ	be
abused	VBN	abuse
by	IN	by
a	DT	a
woman	NN	woman
,	,	,
it	PP	it
’s	VBZ	be
seen	VBN	see
as	IN	as
pathetic	JJ	pathetic
or	CC	or
demeaning	VBG	demean
for	IN	for
him	PP	him
for	IN	for
the	DT	the
exact	JJ	exact
same	JJ	same
reasons	NNS	reason
women	NNS	woman
get	VBP	get
discriminated	VBN	discriminate
against	IN	against
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
It	PP	it
’s	VBZ	be
the	DT	the
same	JJ	same
patriarchal	JJ	patriarchal
logic	NN	logic
at	IN	at
work	NN	work
.	SENT	.
So	CC	so
yes	UH	yes
,	,	,
it	PP	it
is	VBZ	be
sexism	NN	sexism
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
n’t	RB	n't
“	``	"
sexism	NN	sexism
against	IN	against
men	NNS	man
”	''	"
in	IN	in
the	DT	the
way	NN	way
people	NNS	people
usually	RB	usually
frame	VB	frame
it	PP	it
,	,	,
because	IN	because
that	DT	that
whole	JJ	whole
structure	NN	structure
is	VBZ	be
still	RB	still
fundamentally	RB	fundamentally
built	VBN	build
on	IN	on
oppressing	VBG	oppress
women	NNS	woman
.	SENT	.
