when	WRB	when
I	PP	I
say	VBP	say
appointments	NNS	appointment
I	PP	I
do	VBP	do
n't	RB	n't
mean	VB	mean
scary	JJ	scary
interviews	NNS	interview
or	CC	or
anything	NN	anything
,	,	,
I	PP	I
mean	VBP	mean
I	PP	I
’ve	VBP	have
lined	VBN	line
up	RP	up
various	JJ	various
people	NNS	people
I	PP	I
know	VBP	know
at	IN	at
CUP	NN	cup
to	TO	to
have	VB	have
a	DT	a
chat	NN	chat
with	IN	with
you	PP	you
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
go	VB	go
and	CC	and
talk	VB	talk
to	TO	to
them	PP	them
about	IN	about
what	WP	what
they	PP	they
do	VBP	do
,	,	,
and	CC	and
get	VB	get
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
different	JJ	different
roles	NNS	role
there	RB	there
are	VBP	be
.	SENT	.
Especially	RB	especially
in	IN	in
publishing	NN	publishing
,	,	,
because	IN	because
what	WP	what
I	PP	I
do	VBP	do
is	VBZ	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
weird	JJ	weird
little	JJ	little
corner	NN	corner
that	WDT	that
’s	VBZ	be
not	RB	not
very	RB	very
typical	JJ	typical
.	SENT	.
So	RB	so
for	IN	for
example	NN	example
my	PP$	my
friend	NN	friend
who	WP	who
’s	VBZ	be
now	RB	now
in	IN	in
adaptations	NNS	adaptation
will	MD	will
show	VB	show
you	PP	you
what	WP	what
she	PP	she
does	VBZ	do
,	,	,
and	CC	and
there	EX	there
’s	VBZ	be
an	DT	an
editor	NN	editor
from	IN	from
Classics	NNS	Classics
who	WP	who
’ll	RB	<unknown>
do	VBP	do
the	DT	the
same	JJ	same
.	SENT	.
