oh	UH	oh
my	PP$	my
boyfriend	NN	boyfriend
would	MD	would
love	VB	love
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
getting	VBG	get
free	JJ	free
tapas	NNS	tapa
with	IN	with
your	PP$	your
drink	NN	drink
in	IN	in
Granada	NP	Granada
.	SENT	.
My	PP$	my
dad	NN	dad
was	VBD	be
exactly	RB	exactly
the	DT	the
same	JJ	same
,	,	,
he	PP	he
thought	VBD	think
it	PP	it
was	VBD	be
brilliant	JJ	brilliant
.	SENT	.
He	PP	he
got	VBD	get
so	RB	so
into	IN	into
it	PP	it
he	PP	he
actually	RB	actually
rang	VBD	ring
me	PP	me
up	RP	up
to	TO	to
ask	VB	ask
how	WRB	how
to	TO	to
say	VB	say
things	NNS	thing
in	IN	in
the	DT	the
language	NN	language
there	RB	there
,	,	,
just	RB	just
little	JJ	little
phrases	NNS	phrase
so	IN	so
he	PP	he
could	MD	could
try	VB	try
them	PP	them
out	RP	out
.	SENT	.
He	PP	he
’s	VBZ	be
the	DT	the
sort	NN	sort
who	WP	who
’ll	RB	<unknown>
happily	RB	happily
go	VB	go
off	RP	off
on	IN	on
his	PP$	his
own	JJ	own
,	,	,
travelling	VBG	travel
around	RP	around
and	CC	and
having	VBG	have
a	DT	a
go	NN	go
at	IN	at
speaking	VBG	speak
the	DT	the
language	NN	language
.	SENT	.
I	PP	I
remember	VBP	remember
phoning	VBG	phone
him	PP	him
after	IN	after
I	PP	I
’d	VBD	have
finished	VBN	finish
at	IN	at
uni	NN	uni
and	CC	and
he	PP	he
was	VBD	be
like	IN	like
,	,	,
“	``	"
oh	UH	oh
,	,	,
I	PP	I
’m	NN	<unknown>
at	IN	at
the	DT	the
hairdresser	NN	hairdresser
’s	POS	's
.	SENT	.
”	''	"
