My	PP$	my
drumming	VBG	drum
teacher	NN	teacher
actually	RB	actually
plays	VBZ	play
there	RB	there
once	RB	once
a	DT	a
month	NN	month
now	RB	now
,	,	,
a	DT	a
regular	JJ	regular
little	JJ	little
gig	NN	gig
at	IN	at
the	DT	the
Olympic	NP	Olympic
Park	NP	Park
.	SENT	.
It	PP	it
’s	VBZ	be
funny	JJ	funny
,	,	,
after	IN	after
the	DT	the
Games	NPS	Games
you	PP	you
sort	RB	sort
of	IN	of
imagine	VB	imagine
it	PP	it
all	DT	all
just	RB	just
sitting	VBG	sit
there	RB	there
empty	JJ	empty
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
not	RB	not
like	JJ	like
that	IN	that
at	IN	at
all	DT	all
.	SENT	.
They	PP	they
still	RB	still
use	VBP	use
it	PP	it
loads	NNS	load
for	IN	for
sport	NN	sport
,	,	,
and	CC	and
there	EX	there
are	VBP	be
restaurants	NNS	restaurant
and	CC	and
pubs	NNS	pub
and	CC	and
different	JJ	different
events	NNS	event
going	VBG	go
on	IN	on
,	,	,
so	RB	so
it	PP	it
’s	VBZ	be
a	DT	a
really	RB	really
lovely	JJ	lovely
place	NN	place
to	TO	to
go	VB	go
.	SENT	.
Taking	VBG	take
you	PP	you
lot	NN	lot
out	RP	out
to	TO	to
restaurants	NNS	restaurant
there	EX	there
is	VBZ	be
definitely	RB	definitely
easier	JJR	easy
now	RB	now
than	IN	than
it	PP	it
used	VBD	use
to	TO	to
be	VB	be
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
still	RB	still
a	DT	a
bit	NN	bit
stressful	JJ	stressful
when	WRB	when
you	PP	you
start	VBP	start
getting	VBG	get
bored	JJ	bored
and	CC	and
wriggly	JJ	wriggly
.	SENT	.
It	PP	it
always	RB	always
reminds	VBZ	remind
me	PP	me
of	IN	of
when	WRB	when
I	PP	I
was	VBD	be
little	JJ	little
,	,	,
having	VBG	have
those	DT	those
endless	JJ	endless
roast	NN	roast
dinners	NNS	dinner
at	IN	at
Granny	NP	Granny
’s	POS	's
house	NN	house
.	SENT	.
We	PP	we
had	VBD	have
to	TO	to
just	RB	just
sit	VB	sit
there	RB	there
for	IN	for
ages	NNS	age
,	,	,
and	CC	and
I	PP	I
absolutely	RB	absolutely
hated	VBD	hate
it	PP	it
.	SENT	.
You	PP	you
were	VBD	be
n’t	RB	n't
allowed	VBN	allow
to	TO	to
get	VB	get
down	RP	down
or	CC	or
run	VB	run
around	RP	around
,	,	,
just	RB	just
sit	VBP	sit
and	CC	and
sit	VBP	sit
.	SENT	.
Kids	NNS	kid
do	VBP	do
n’t	RB	n't
really	RB	really
want	VBP	want
to	TO	to
sit	VB	sit
in	IN	in
restaurants	NNS	restaurant
,	,	,
do	VBP	do
they	PP	they
?	SENT	?
It	PP	it
’s	VBZ	be
not	RB	not
exactly	RB	exactly
designed	VBN	design
for	IN	for
you	PP	you
,	,	,
it	PP	it
’s	VBZ	be
for	IN	for
grown‑ups	NNS	<unknown>
who	WP	who
like	VBP	like
talking	VBG	talk
for	IN	for
hours	NNS	hour
.	SENT	.
