oh	UH	oh
I	PP	I
just	RB	just
confused	VBD	confuse
myself	PP	myself
then	RB	then
trying	VBG	try
to	TO	to
explain	VB	explain
it	PP	it
.	SENT	.
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
say	VB	say
we	PP	we
do	VBP	do
n’t	RB	n't
really	RB	really
have	VB	have
to	TO	to
go	VB	go
out	RP	out
that	IN	that
much	RB	much
on	IN	on
that	DT	that
weekend	NN	weekend
when	WRB	when
you	PP	you
’re	VBP	be
up	RB	up
,	,	,
the	DT	the
fourteenth	NN	fourteenth
of	IN	of
November	NP	November
one	CD	one
.	SENT	.
For	IN	for
a	DT	a
second	NN	second
I	PP	I
was	VBD	be
thinking	VBG	think
about	IN	about
Halloween	NP	Halloween
instead	RB	instead
,	,	,
when	WRB	when
we	PP	we
’re	VBP	be
definitely	RB	definitely
going	VBG	go
out	RP	out
,	,	,
and	CC	and
then	RB	then
I	PP	I
remembered	VBD	remember
we	PP	we
were	VBD	be
actually	RB	actually
talking	VBG	talk
about	IN	about
the	DT	the
November	NP	November
weekend	NN	weekend
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
as	RB	as
well	RB	well
,	,	,
like	JJ	like
,	,	,
last	JJ	last
time	NN	time
we	PP	we
did	VBD	do
n’t	RB	n't
end	VB	end
up	RP	up
seeing	VBG	see
each	DT	each
other	JJ	other
till	NN	till
really	RB	really
late	RB	late
anyway	RB	anyway
because	IN	because
we	PP	we
were	VBD	be
both	DT	both
sleeping	NN	sleeping
off	IN	off
the	DT	the
night	NN	night
before	RB	before
,	,	,
so	RB	so
it	PP	it
’s	VBZ	be
not	RB	not
like	IN	like
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
that	IN	that
again	RB	again
.	SENT	.
