There	EX	there
was	VBD	be
this	DT	this
documentary	NN	documentary
about	IN	about
paedophiles	NNS	<unknown>
who	WP	who
actually	RB	actually
knew	VBD	know
that	IN	that
what	WP	what
they	PP	they
wanted	VBD	want
to	TO	to
do	VB	do
to	TO	to
children	NNS	child
was	VBD	be
completely	RB	completely
wrong	JJ	wrong
.	SENT	.
They	PP	they
understood	VBD	understand
it	PP	it
came	VBD	come
from	IN	from
some	DT	some
deep	JJ	deep
psychological	JJ	psychological
problem	NN	problem
they	PP	they
could	MD	could
n’t	RB	n't
control	VB	control
,	,	,
but	CC	but
they	PP	they
still	RB	still
did	VBD	do
n’t	RB	n't
want	VB	want
to	TO	to
hurt	VB	hurt
anyone	NN	anyone
.	SENT	.
So	RB	so
they	PP	they
made	VBD	make
this	DT	this
really	RB	really
extreme	JJ	extreme
decision	NN	decision
:	:	:
they	PP	they
chose	VBD	choose
to	TO	to
be	VB	be
castrated	VBN	castrate
.	SENT	.
The	DT	the
idea	NN	idea
was	VBD	be
that	IN	that
if	IN	if
they	PP	they
were	VBD	be
castrated	VBN	castrate
,	,	,
they	PP	they
would	MD	would
n’t	RB	n't
get	VB	get
aroused	VBN	arouse
around	IN	around
children	NNS	child
anymore	RB	anymore
,	,	,
and	CC	and
they	PP	they
would	MD	would
n’t	RB	n't
be	VB	be
able	JJ	able
to	TO	to
act	VB	act
on	IN	on
those	DT	those
urges	NNS	urge
at	IN	at
all	DT	all
.	SENT	.
