when	WRB	when
she	PP	she
's	VBZ	be
with	IN	with
her	PP$	her
friends	NNS	friend
from	IN	from
uni	NN	uni
it	PP	it
's	VBZ	be
like	IN	like
she	PP	she
just	RB	just
drinks	VBZ	drink
like	IN	like
a	DT	a
complete	JJ	complete
fish	NN	fish
,	,	,
really	RB	really
goes	VBZ	go
for	IN	for
it	PP	it
,	,	,
and	CC	and
then	RB	then
at	IN	at
other	JJ	other
times	NNS	time
she	PP	she
's	VBZ	be
almost	RB	almost
the	DT	the
opposite	NN	opposite
,	,	,
really	RB	really
restrained	VBN	restrain
,	,	,
barely	RB	barely
touching	VBG	touch
anything	NN	anything
.	SENT	.
it	PP	it
makes	VBZ	make
her	PP	her
seem	VBP	seem
like	IN	like
this	DT	this
massive	JJ	massive
seething	JJ	seething
ball	NN	ball
of	IN	of
nerves	NNS	nerve
and	CC	and
neurosis	NN	neurosis
underneath	IN	underneath
it	PP	it
all	RB	all
.	SENT	.
with	IN	with
them	PP	them
she	PP	she
looks	VBZ	look
more	RBR	more
relaxed	VBN	relax
,	,	,
but	CC	but
I	PP	I
ca	MD	ca
n't	RB	n't
help	VB	help
thinking	VBG	think
she	PP	she
might	MD	might
be	VB	be
pretending	VBG	pretend
a	DT	a
bit	NN	bit
,	,	,
sort	NN	sort
of	IN	of
putting	VBG	put
on	IN	on
a	DT	a
front	NN	front
.	SENT	.
with	IN	with
me	PP	me
she	PP	she
seems	VBZ	seem
less	RBR	less
worried	VBN	worry
than	IN	than
in	IN	in
some	DT	some
situations	NNS	situation
,	,	,
but	CC	but
still	RB	still
kind	NN	kind
of	IN	of
on	IN	on
edge	NN	edge
,	,	,
and	CC	and
in	IN	in
general	NN	general
she	PP	she
just	RB	just
comes	VBZ	come
across	IN	across
as	IN	as
tense	JJ	tense
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
.	SENT	.
