when	WRB	when
I	PP	I
used	VBD	use
to	TO	to
go	VB	go
to	TO	to
work	VB	work
I	PP	I
’d	MD	will
have	VB	have
to	TO	to
leave	VB	leave
the	DT	the
house	NN	house
at	IN	at
about	RB	about
five	CD	five
to	TO	to
seven	CD	seven
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
so	RB	so
around	IN	around
six	CD	six
fifty‑five	NN	<unknown>
,	,	,
and	CC	and
it	PP	it
was	VBD	be
always	RB	always
in	IN	in
the	DT	the
dark	NN	dark
and	CC	and
freezing	NN	freezing
cold	NN	cold
,	,	,
usually	RB	usually
with	IN	with
snow	NN	snow
about	RB	about
as	RB	as
well	RB	well
.	SENT	.
I	PP	I
’d	MD	will
get	VB	get
the	DT	the
seven	CD	seven
o’clock	NN	o’clock
bus	NN	bus
,	,	,
and	CC	and
then	RB	then
after	IN	after
that	IN	that
I	PP	I
’d	MD	will
be	VB	be
stuck	VBN	stick
waiting	VBG	wait
for	IN	for
the	DT	the
next	JJ	next
one	CD	one
for	IN	for
about	RB	about
half	PDT	half
an	DT	an
hour	NN	hour
,	,	,
just	RB	just
standing	VBG	stand
there	RB	there
in	IN	in
something	NN	something
like	IN	like
minus	NN	minus
eight	CD	eight
degrees	NNS	degree
.	SENT	.
once	IN	once
that	DT	that
second	JJ	second
bus	NN	bus
finally	RB	finally
turned	VBD	turn
up	RP	up
and	CC	and
got	VBD	get
me	PP	me
near	IN	near
work	NN	work
,	,	,
I	PP	I
still	RB	still
had	VBD	have
a	DT	a
ten	CD	ten
to	TO	to
fifteen	CD	fifteen
minute	NN	minute
walk	NN	walk
,	,	,
all	DT	all
uphill	NN	uphill
,	,	,
from	IN	from
the	DT	the
bus	NN	bus
stop	VB	stop
to	TO	to
actually	RB	actually
get	VB	get
to	TO	to
the	DT	the
place	NN	place
.	SENT	.
