No	UH	no
,	,	,
they	PP	they
really	RB	really
did	VBD	do
n’t	RB	n't
get	VB	get
into	IN	into
that	DT	that
at	IN	at
all	DT	all
,	,	,
and	CC	and
that	DT	that
’s	VBZ	be
exactly	RB	exactly
where	WRB	where
I	PP	I
’m	NN	<unknown>
struggling	VBG	struggle
.	SENT	.
I	PP	I
just	RB	just
do	VBP	do
n’t	RB	n't
connect	VB	connect
with	IN	with
the	DT	the
current	JJ	current
methodology	NN	methodology
,	,	,
because	IN	because
there	EX	there
are	VBP	be
n’t	RB	n't
any	DT	any
really	RB	really
engaging	JJ	engaging
,	,	,
visually	RB	visually
attractive	JJ	attractive
,	,	,
step‑by‑step	JJ	<unknown>
materials	NNS	material
that	WDT	that
guide	VBP	guide
the	DT	the
students	NNS	student
.	SENT	.
Without	IN	without
that	DT	that
,	,	,
I	PP	I
feel	VBP	feel
a	DT	a
bit	NN	bit
lost	VBD	lose
and	CC	and
as	RB	as
if	IN	if
all	PDT	all
the	DT	the
responsibility	NN	responsibility
for	IN	for
their	PP$	their
progress	NN	progress
is	VBZ	be
on	IN	on
my	PP$	my
shoulders	NNS	shoulder
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
think	VB	think
it	PP	it
should	MD	should
work	VB	work
like	IN	like
that	DT	that
;	:	;
the	DT	the
responsibility	NN	responsibility
ought	MD	ought
to	TO	to
be	VB	be
more	JJR	more
on	IN	on
the	DT	the
learners	NNS	learner
themselves	PP	themselves
.	SENT	.
I	PP	I
see	VBP	see
my	PP$	my
role	NN	role
more	RBR	more
like	IN	like
a	DT	a
film	NN	film
director	NN	director
,	,	,
shaping	VBG	shape
and	CC	and
guiding	VBG	guide
the	DT	the
process	NN	process
rather	RB	rather
than	IN	than
carrying	VBG	carry
everything	NN	everything
alone	RB	alone
.	SENT	.
