well	RB	well
I	PP	I
know	VBP	know
they	PP	they
’re	VBP	be
going	VBG	go
to	TO	to
challenge	VB	challenge
me	PP	me
,	,	,
that	WDT	that
’s	VBZ	be
a	DT	a
given	VBN	give
.	SENT	.
Of	IN	of
course	NN	course
they	PP	they
will	MD	will
.	SENT	.
They	PP	they
’re	VBP	be
my	PP$	my
friends	NNS	friend
,	,	,
and	CC	and
they	PP	they
’re	VBP	be
going	VBG	go
to	TO	to
be	VB	be
my	PP$	my
biggest	JJS	big
critics	NNS	critic
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
the	DT	the
only	JJ	only
way	NN	way
I	PP	I
can	MD	can
deal	VB	deal
with	IN	with
that	DT	that
properly	RB	properly
is	VBZ	be
to	TO	to
be	VB	be
really	RB	really
clear	JJ	clear
about	RB	about
why	WRB	why
I	PP	I
’m	NN	<unknown>
changing	VBG	change
direction	NN	direction
and	CC	and
what	WP	what
I	PP	I
’m	NN	<unknown>
actually	RB	actually
trying	VBG	try
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
’ll	RB	<unknown>
have	VB	have
to	TO	to
spell	VB	spell
out	RP	out
that	IN	that
I	PP	I
’m	NN	<unknown>
in	IN	in
a	DT	a
kind	NN	kind
of	IN	of
transitional	JJ	transitional
phase	NN	phase
,	,	,
not	RB	not
just	RB	just
randomly	RB	randomly
flitting	VBG	flit
about	RB	about
.	SENT	.
I	PP	I
’m	NN	<unknown>
moving	VBG	move
towards	IN	towards
creating	VBG	create
something	NN	something
different	JJ	different
,	,	,
even	RB	even
if	IN	if
from	IN	from
the	DT	the
outside	NN	outside
it	PP	it
might	MD	might
just	RB	just
look	VB	look
a	DT	a
bit	NN	bit
vague	JJ	vague
or	CC	or
experimental	JJ	experimental
right	NN	right
now	RB	now
.	SENT	.
For	IN	for
me	PP	me
it	PP	it
*is*	JJ	<unknown>
new	JJ	new
,	,	,
because	IN	because
I	PP	I
’m	NN	<unknown>
learning	VBG	learn
new	JJ	new
things	NNS	thing
all	PDT	all
the	DT	the
time	NN	time
–	:	-
stuff	NN	stuff
I	PP	I
did	VBD	do
n’t	RB	n't
know	VB	know
before	RB	before
,	,	,
things	NNS	thing
I	NP	I
’m	NN	<unknown>
finding	VBG	find
out	RP	out
and	CC	and
learning	VBG	learn
about	RB	about
as	IN	as
I	PP	I
go	VBP	go
.	SENT	.
It	PP	it
feels	VBZ	feel
new	JJ	new
because	IN	because
I	PP	I
’m	NN	<unknown>
stretching	VBG	stretch
myself	PP	myself
.	SENT	.
A	DT	a
big	JJ	big
part	NN	part
of	IN	of
it	PP	it
is	VBZ	be
learning	VBG	learn
from	IN	from
people	NNS	people
who	WP	who
are	VBP	be
already	RB	already
doing	VBG	do
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
it	PP	it
clear	JJ	clear
to	TO	to
them	PP	them
that	IN	that
I	PP	I
’m	NN	<unknown>
not	RB	not
just	RB	just
dreaming	VBG	dream
this	DT	this
up	RP	up
in	IN	in
isolation	NN	isolation
;	:	;
I	CD	@card@
’m	NN	<unknown>
watching	VBG	watch
and	CC	and
listening	VBG	listen
to	TO	to
people	NNS	people
who	WP	who
are	VBP	be
actually	RB	actually
out	IN	out
there	RB	there
doing	VBG	do
it	PP	it
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
trying	VBG	try
to	TO	to
pick	VB	pick
up	RP	up
as	RB	as
much	RB	much
as	IN	as
I	PP	I
can	MD	can
from	IN	from
them	PP	them
.	SENT	.
That	DT	that
’s	VBZ	be
how	WRB	how
I	PP	I
’m	NN	<unknown>
thinking	VBG	think
about	IN	about
it	PP	it
:	:	:
learning	VBG	learn
from	IN	from
others	NNS	other
,	,	,
then	RB	then
gradually	RB	gradually
shaping	VBG	shape
my	PP$	my
own	JJ	own
version	NN	version
.	SENT	.
I	PP	I
’ll	RB	<unknown>
probably	RB	probably
explain	VB	explain
that	IN	that
in	IN	in
entrepreneurship	NN	entrepreneurship
there	EX	there
are	VBP	be
common	JJ	common
themes	NNS	theme
,	,	,
but	CC	but
everyone	NN	everyone
has	VBZ	have
their	PP$	their
own	JJ	own
path	NN	path
.	SENT	.
There	EX	there
’s	VBZ	be
no	DT	no
single	JJ	single
route	NN	route
you	PP	you
’re	VBP	be
supposed	VBN	suppose
to	TO	to
follow	VB	follow
.	SENT	.
So	CC	so
yes	UH	yes
,	,	,
there	EX	there
are	VBP	be
shared	JJ	shared
ideas	NNS	idea
and	CC	and
patterns	NNS	pattern
,	,	,
but	CC	but
what	WP	what
I	PP	I
’m	NN	<unknown>
doing	VBG	do
is	VBZ	be
finding	VBG	find
my	PP$	my
own	JJ	own
way	NN	way
through	IN	through
that	WDT	that
,	,	,
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
makes	VBZ	make
sense	NN	sense
for	IN	for
me	PP	me
.	SENT	.
Even	RB	even
if	IN	if
my	PP$	my
friends	NNS	friend
do	VBP	do
n’t	RB	n't
fully	RB	fully
get	VB	get
my	PP$	my
perspective	NN	perspective
,	,	,
or	CC	or
they	PP	they
ca	MD	ca
n’t	RB	n't
quite	RB	quite
see	VB	see
the	DT	the
“	``	"
bigger	JJR	big
picture	NN	picture
”	''	"
I	PP	I
’ve	VBP	have
got	VBN	get
in	IN	in
my	PP$	my
head	NN	head
,	,	,
I	PP	I
still	RB	still
think	VBP	think
there	EX	there
’s	VBZ	be
value	NN	value
in	IN	in
learning	VBG	learn
from	IN	from
them	PP	them
too	RB	too
.	SENT	.
They	PP	they
might	MD	might
not	RB	not
understand	VB	understand
why	WRB	why
I	PP	I
’m	NN	<unknown>
doing	VBG	do
this	DT	this
,	,	,
but	CC	but
they	PP	they
’ll	RB	<unknown>
still	RB	still
have	VBP	have
experiences	NNS	experience
and	CC	and
insights	NNS	insight
that	WDT	that
are	VBP	be
useful	JJ	useful
.	SENT	.
So	IN	so
my	PP$	my
response	NN	response
to	TO	to
their	PP$	their
criticism	NN	criticism
will	MD	will
be	VB	be
to	TO	to
calmly	RB	calmly
lay	VB	lay
out	RP	out
my	PP$	my
reasons	NNS	reason
,	,	,
show	VBP	show
that	IN	that
I	PP	I
’m	NN	<unknown>
in	IN	in
a	DT	a
deliberate	JJ	deliberate
transition	NN	transition
towards	IN	towards
something	NN	something
different	JJ	different
,	,	,
and	CC	and
keep	VB	keep
stressing	VBG	stress
that	IN	that
this	DT	this
is	VBZ	be
about	RB	about
learning	VBG	learn
–	:	-
from	IN	from
people	NNS	people
ahead	RB	ahead
of	IN	of
me	PP	me
,	,	,
and	CC	and
from	IN	from
them	PP	them
as	RB	as
well	RB	well
–	:	-
even	RB	even
if	IN	if
they	PP	they
do	VBP	do
n’t	RB	n't
