there	EX	there
was	VBD	be
this	DT	this
story	NN	story
about	IN	about
a	DT	a
university	NN	university
student	NN	student
who	WP	who
was	VBD	be
working	VBG	work
in	IN	in
the	DT	the
library	NN	library
,	,	,
and	CC	and
this	DT	this
boy	NN	boy
wanted	VBD	want
to	TO	to
ask	VB	ask
her	PP	her
out	RP	out
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
silent	JJ	silent
place	NN	place
,	,	,
so	RB	so
he	PP	he
could	MD	could
n’t	RB	n't
really	RB	really
talk	VB	talk
to	TO	to
her	PP	her
.	SENT	.
instead	RB	instead
,	,	,
he	PP	he
did	VBD	do
this	DT	this
really	RB	really
sweet	JJ	sweet
thing	NN	thing
:	:	:
he	PP	he
drew	VBD	draw
a	DT	a
sort	NN	sort
of	IN	of
WhatsApp-style	NP	WhatsApp-style
conversation	NN	conversation
on	IN	on
paper	NN	paper
,	,	,
with	IN	with
little	JJ	little
message	NN	message
bubbles	NNS	bubble
and	CC	and
everything	NN	everything
.	SENT	.
in	IN	in
it	PP	it
,	,	,
he	PP	he
basically	RB	basically
gave	VBD	give
her	PP	her
a	DT	a
choice	NN	choice
:	:	:
either	CC	either
go	VB	go
for	IN	for
a	DT	a
coffee	NN	coffee
with	IN	with
him	PP	him
,	,	,
or	CC	or
decline	NN	decline
with	IN	with
some	DT	some
kind	NN	kind
of	IN	of
humorous	JJ	humorous
excuse	NN	excuse
.	SENT	.
he	PP	he
then	RB	then
gave	VBD	give
her	PP	her
this	DT	this
hand-drawn	NN	hand-drawn
“	``	"
chat	NN	chat
”	''	"
as	IN	as
his	PP$	his
way	NN	way
of	IN	of
asking	VBG	ask
her	PP	her
out	RP	out
,	,	,
because	IN	because
they	PP	they
had	VBD	have
to	TO	to
keep	VB	keep
quiet	JJ	quiet
in	IN	in
the	DT	the
library	NN	library
.	SENT	.
