oh	UH	oh
my	PP$	my
god	NN	god
when	WRB	when
we	PP	we
actually	RB	actually
reached	VBD	reach
the	DT	the
top	NN	top
I	PP	I
just	RB	just
completely	RB	completely
panicked	VBN	panic
because	IN	because
I	PP	I
still	RB	still
did	VBD	do
n’t	RB	n't
have	VB	have
a	DT	a
clue	NN	clue
how	WRB	how
you	PP	you
were	VBD	be
meant	VBN	mean
to	TO	to
get	VB	get
off	RP	off
the	DT	the
thing	NN	thing
.	SENT	.
I	PP	I
’m	NN	<unknown>
sitting	VBG	sit
there	RB	there
thinking	VBG	think
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
,	,	,
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
,	,	,
and	CC	and
I	PP	I
ended	VBD	end
up	RP	up
kind	NN	kind
of	IN	of
waving	VBG	wave
at	IN	at
this	DT	this
woman	NN	woman
,	,	,
trying	VBG	try
to	TO	to
signal	VB	signal
that	IN	that
I	PP	I
needed	VBD	need
help	VB	help
.	SENT	.
She	PP	she
slowed	VBD	slow
the	DT	the
lift	NN	lift
right	RB	right
down	RB	down
for	IN	for
me	PP	me
,	,	,
which	WDT	which
was	VBD	be
lovely	JJ	lovely
of	IN	of
her	PP	her
,	,	,
but	CC	but
then	RB	then
I	PP	I
made	VBD	make
it	PP	it
worse	JJR	bad
.	SENT	.
As	IN	as
I	PP	I
tried	VBD	try
to	TO	to
get	VB	get
off	IN	off
I	PP	I
grabbed	VBD	grab
her	PP$	her
arm	NN	arm
to	TO	to
steady	VB	steady
myself	PP	myself
and	CC	and
just	RB	just
yanked	VBD	yank
her	PP$	her
straight	JJ	straight
over	RB	over
backwards	RB	backwards
with	IN	with
me	PP	me
.	SENT	.
We	PP	we
both	CC	both
went	VBD	go
down	RP	down
in	IN	in
a	DT	a
heap	NN	heap
.	SENT	.
I	PP	I
was	VBD	be
mortified	VBN	mortify
,	,	,
just	RB	just
going	VBG	go
“	``	"
I	PP	I
’m	NN	<unknown>
so	RB	so
sorry	RB	sorry
,	,	,
I	PP	I
’m	NN	<unknown>
so	RB	so
sorry	JJ	sorry
,	,	,
”	''	"
and	CC	and
babbling	VBG	babble
that	IN	that
I	PP	I
’d	VBD	have
been	VBN	be
completely	RB	completely
unable	JJ	unable
to	TO	to
get	VB	get
off	RP	off
the	DT	the
lift	NN	lift
properly	RB	properly
.	SENT	.
I	PP	I
think	VBP	think
she	PP	she
realised	VBD	realise
I	PP	I
was	VBD	be
just	RB	just
useless	JJ	useless
rather	RB	rather
than	IN	than
malicious	JJ	malicious
,	,	,
but	CC	but
honestly	RB	honestly
,	,	,
it	PP	it
was	VBD	be
such	JJ	such
a	DT	a
disaster	NN	disaster
.	SENT	.
