two	CD	two
of	IN	of
the	DT	the
lads	NNS	lad
from	IN	from
last	JJ	last
year	NN	year
actually	RB	actually
came	VBD	come
down	RP	down
to	TO	to
watch	VB	watch
as	RB	as
well	RB	well
,	,	,
which	WDT	which
almost	RB	almost
made	VBD	make
it	PP	it
worse	JJR	bad
.	SENT	.
we	PP	we
were	VBD	be
stood	VBN	stand
there	RB	there
after	IN	after
just	RB	just
laughing	VBG	laugh
about	RB	about
how	WRB	how
bad	JJ	bad
the	DT	the
defence	NN	defence
is	VBZ	be
now	RB	now
,	,	,
like	IN	like
properly	RB	properly
taking	VBG	take
the	DT	the
mick	NN	<unknown>
out	RP	out
of	IN	of
how	WRB	how
slow	JJ	slow
and	CC	and
clueless	JJ	clueless
the	DT	the
back	JJ	back
line	NN	line
is	VBZ	be
.	SENT	.
I	PP	I
was	VBD	be
asking	VBG	ask
them	PP	them
if	IN	if
they	PP	they
knew	VBD	know
any	DT	any
defenders	NNS	defender
who	WP	who
might	MD	might
fancy	VB	fancy
coming	VBG	come
in	IN	in
,	,	,
because	IN	because
we	PP	we
’re	VBP	be
that	RB	that
desperate	JJ	desperate
–	:	-
just	RB	just
anyone	NN	anyone
who	WP	who
can	MD	can
head	VB	head
a	DT	a
ball	NN	ball
and	CC	and
not	RB	not
panic	VB	panic
when	WRB	when
it	PP	it
drops	VBZ	drop
.	SENT	.
talking	VBG	talk
to	TO	to
them	PP	them
really	RB	really
hammered	VBD	hammer
it	PP	it
home	RB	home
how	WRB	how
different	JJ	different
it	PP	it
feels	VBZ	feel
this	DT	this
season	NN	season
.	SENT	.
we	PP	we
lost	VBD	lose
games	NNS	game
last	JJ	last
year	NN	year
too	RB	too
,	,	,
but	CC	but
it	PP	it
never	RB	never
felt	VBD	feel
this	DT	this
hopeless	JJ	hopeless
.	SENT	.
the	DT	the
talent	NN	talent
we	PP	we
had	VBD	have
then	RB	then
was	VBD	be
miles	NNS	mile
better	RBR	well
,	,	,
across	IN	across
the	DT	the
whole	JJ	whole
team	NN	team
.	SENT	.
the	DT	the
big	JJ	big
problem	NN	problem
was	VBD	be
the	DT	the
manager	NN	manager
–	:	-
he	PP	he
was	VBD	be
rubbish	JJ	rubbish
,	,	,
and	CC	and
you	PP	you
always	RB	always
felt	VBD	feel
like	IN	like
he	PP	he
was	VBD	be
holding	VBG	hold
us	PP	us
back	RB	back
tactically	RB	tactically
or	CC	or
with	IN	with
his	PP$	his
decisions	NNS	decision
.	SENT	.
now	RB	now
it	PP	it
’s	VBZ	be
the	DT	the
opposite	NN	opposite
:	:	:
the	DT	the
manager	NN	manager
’s	VBZ	be
not	RB	not
even	RB	even
the	DT	the
main	JJ	main
issue	NN	issue
,	,	,
it	PP	it
’s	VBZ	be
that	IN	that
the	DT	the
squad	NN	squad
just	RB	just
is	VBZ	be
n’t	RB	n't
anywhere	RB	anywhere
near	IN	near
the	DT	the
same	JJ	same
level	NN	level
.	SENT	.
it	PP	it
honestly	RB	honestly
feels	VBZ	feel
like	IN	like
I	PP	I
’ve	VBP	have
gone	VBN	go
from	IN	from
playing	VBG	play
for	IN	for
a	DT	a
decent	JJ	decent
club	NN	club
to	TO	to
some	DT	some
much	RB	much
worse	JJR	bad
side	NN	side
,	,	,
even	RB	even
though	IN	though
it	PP	it
’s	VBZ	be
technically	RB	technically
the	DT	the
same	JJ	same
team	NN	team
.	SENT	.
