when	WRB	when
I	PP	I
saw	VBD	see
her	PP	her
on	IN	on
Tuesday	NP	Tuesday
she	PP	she
was	VBD	be
saying	VBG	say
she	PP	she
just	RB	just
had	VBD	have
n’t	RB	n't
saved	VBN	save
enough	JJ	enough
money	NN	money
and	CC	and
was	VBD	be
really	RB	really
stressed	VBN	stress
about	IN	about
it	PP	it
.	SENT	.
her	PP$	her
mum	NN	mum
’s	VBZ	be
being	VBG	be
totally	RB	totally
unhelpful	JJ	unhelpful
and	CC	and
just	RB	just
refusing	VBG	refuse
to	TO	to
lend	VB	lend
her	PP$	her
anything	NN	anything
,	,	,
which	WDT	which
does	VBZ	do
n’t	RB	n't
make	VB	make
it	PP	it
easier	JJR	easy
.	SENT	.
the	DT	the
problem	NN	problem
is	VBZ	be
,	,	,
to	TO	to
get	VB	get
into	IN	into
the	DT	the
country	NN	country
she	PP	she
has	VBZ	have
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
show	VB	show
five	CD	five
thousand	CD	thousand
Australian	JJ	Australian
dollars	NNS	dollar
sitting	VBG	sit
in	IN	in
her	PP$	her
bank	NN	bank
account	NN	account
,	,	,
to	TO	to
prove	VB	prove
she	PP	she
can	MD	can
actually	RB	actually
support	VB	support
herself	PP	herself
while	IN	while
she	PP	she
’s	VBZ	be
there	RB	there
.	SENT	.
and	CC	and
it	PP	it
’s	VBZ	be
not	RB	not
like	IN	like
that	DT	that
’s	VBZ	be
some	DT	some
arbitrary	JJ	arbitrary
number	NN	number
either	RB	either
,	,	,
it	PP	it
’s	VBZ	be
pretty	RB	pretty
much	JJ	much
what	WP	what
you	PP	you
really	RB	really
do	VBP	do
need	NN	need
to	TO	to
live	VB	live
on	RP	on
.	SENT	.
