Their	PP$	their
job	NN	job
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
gathering	VBG	gather
information	NN	information
,	,	,
preventing	VBG	prevent
attacks	NNS	attack
before	IN	before
they	PP	they
happen	VBP	happen
,	,	,
not	RB	not
running	VBG	run
around	IN	around
killing	VBG	kill
people	NNS	people
.	SENT	.
I	PP	I
was	VBD	be
arguing	VBG	argue
with	IN	with
this	DT	this
guy	NN	guy
who	WP	who
was	VBD	be
very	RB	very
much	RB	much
like	VB	like
,	,	,
“	``	"
No	UH	no
,	,	,
they	PP	they
should	MD	should
go	VB	go
abroad	RB	abroad
and	CC	and
just	RB	just
kill	VB	kill
these	DT	these
people	NNS	people
,	,	,
”	''	"
and	CC	and
I	PP	I
just	RB	just
could	MD	could
n’t	RB	n't
go	VB	go
along	RP	along
with	IN	with
that	DT	that
at	IN	at
all	DT	all
.	SENT	.
I	PP	I
said	VBD	say
I	PP	I
’m	NN	<unknown>
a	DT	a
pacifist	NN	pacifist
,	,	,
I	PP	I
do	VBP	do
n’t	RB	n't
believe	VB	believe
anyone	NN	anyone
deserves	VBZ	deserve
to	TO	to
be	VB	be
killed	VBN	kill
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
not	RB	not
going	VBG	go
to	TO	to
support	VB	support
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
.	SENT	.
Then	RB	then
he	PP	he
hit	VBP	hit
me	PP	me
with	IN	with
this	DT	this
hypothetical	JJ	hypothetical
about	IN	about
someone	NN	someone
shooting	VBG	shoot
people	NNS	people
in	IN	in
the	DT	the
street	NN	street
,	,	,
and	CC	and
what	WP	what
would	MD	would
I	PP	I
do	VB	do
.	SENT	.
I	PP	I
said	VBD	say
I	PP	I
’d	MD	will
run	VB	run
away	RB	away
.	SENT	.
I	PP	I
would	MD	would
n’t	RB	n't
fight	VB	fight
,	,	,
I	PP	I
would	MD	would
n’t	RB	n't
shoot	VB	shoot
.	SENT	.
I	PP	I
’m	NN	<unknown>
just	RB	just
not	RB	not
that	DT	that
kind	NN	kind
of	IN	of
person	NN	person
,	,	,
I	PP	I
could	MD	could
n’t	RB	n't
do	VB	do
it	PP	it
,	,	,
even	RB	even
in	IN	in
that	DT	that
sort	NN	sort
of	IN	of
scenario	NN	scenario
.	SENT	.
