well	RB	well
I	PP	I
'm	VBP	be
going	VBG	go
to	TO	to
say	VB	say
all	DT	all
of	IN	of
it	PP	it
because	IN	because
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
actually	RB	actually
hear	VB	hear
what	WP	what
I	PP	I
did	VBD	do
today	NN	today
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
amount	NN	amount
I	PP	I
normally	RB	normally
do	VBP	do
.	SENT	.
So	RB	so
:	:	:
I	PP	I
did	VBD	do
all	PDT	all
the	DT	the
washing	VBG	wash
and	CC	and
drying	VBG	dry
,	,	,
got	VBD	get
the	DT	the
clothes	NNS	clothes
sorted	VBN	sort
,	,	,
sorted	VBN	sort
out	IN	out
the	DT	the
swimming	NN	swimming
costumes	NNS	costume
and	CC	and
all	PDT	all
that	DT	that
stuff	NN	stuff
.	SENT	.
I	PP	I
got	VBD	get
breakfast	NN	breakfast
ready	JJ	ready
,	,	,
made	VBD	make
the	DT	the
juice	NN	juice
,	,	,
dealt	VBN	deal
with	IN	with
all	PDT	all
the	DT	the
off	JJ	off
food	NN	food
and	CC	and
the	DT	the
rubbish	NN	rubbish
and	CC	and
got	VBD	get
that	IN	that
out	IN	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
I	PP	I
took	VBD	take
him	PP	him
swimming	NN	swimming
,	,	,
got	VBD	get
him	PP	him
ready	JJ	ready
,	,	,
managed	VBD	manage
him	PP	him
in	IN	in
the	DT	the
pool	NN	pool
and	CC	and
out	RB	out
of	IN	of
it	PP	it
,	,	,
all	RB	all
the	DT	the
faffing	VBG	faff
around	RP	around
with	IN	with
getting	VBG	get
there	RB	there
and	CC	and
back	RB	back
and	CC	and
keeping	VBG	keep
him	PP	him
more	JJR	more
or	CC	or
less	RBR	less
happy	JJ	happy
.	SENT	.
Then	RB	then
we	PP	we
went	VBD	go
shopping	NN	shopping
,	,	,
and	CC	and
that	WDT	that
meant	VBD	mean
going	VBG	go
on	IN	on
the	DT	the
bus	NN	bus
with	IN	with
him	PP	him
crying	VBG	cry
,	,	,
trying	VBG	try
to	TO	to
keep	VB	keep
him	PP	him
calm	VB	calm
and	CC	and
still	RB	still
get	VB	get
the	DT	the
shopping	NN	shopping
done	VBN	do
and	CC	and
get	VB	get
us	PP	us
both	DT	both
home	NN	home
in	IN	in
one	CD	one
piece	NN	piece
.	SENT	.
When	WRB	when
we	PP	we
got	VBD	get
back	RB	back
I	PP	I
cooked	VBD	cook
dinner	NN	dinner
,	,	,
on	IN	on
top	NN	top
of	IN	of
everything	NN	everything
else	RB	else
,	,	,
after	IN	after
having	VBG	have
done	VBN	do
all	RB	all
that	IN	that
running	VBG	run
around	RP	around
with	IN	with
him	PP	him
and	CC	and
all	PDT	all
the	DT	the
house	NN	house
bits	NNS	bit
.	SENT	.
That	DT	that
whole	JJ	whole
long	JJ	long
list	NN	list
–	:	-
the	DT	the
clothes	NNS	clothes
,	,	,
the	DT	the
swimming	NN	swimming
stuff	NN	stuff
,	,	,
the	DT	the
breakfast	NN	breakfast
and	CC	and
juice	NN	juice
,	,	,
sorting	VBG	sort
the	DT	the
off	JJ	off
food	NN	food
and	CC	and
rubbish	NN	rubbish
,	,	,
taking	VBG	take
him	PP	him
swimming	VBG	swim
and	CC	and
looking	VBG	look
after	IN	after
him	PP	him
there	RB	there
,	,	,
going	VBG	go
shopping	NN	shopping
with	IN	with
him	PP	him
on	IN	on
the	DT	the
bus	NN	bus
while	IN	while
he	PP	he
was	VBD	be
crying	VBG	cry
,	,	,
and	CC	and
then	RB	then
coming	VBG	come
home	NN	home
and	CC	and
cooking	NN	cooking
dinner	NN	dinner
–	:	-
that	WDT	that
’s	VBZ	be
what	WP	what
I	PP	I
’ve	VBP	have
actually	RB	actually
done	VBN	do
today	NN	today
.	SENT	.
And	CC	and
that	DT	that
’s	VBZ	be
not	RB	not
some	DT	some
special	JJ	special
day	NN	day
where	WRB	where
I	PP	I
’ve	VBP	have
done	VBN	do
loads	NNS	load
for	IN	for
no	DT	no
reason	NN	reason
;	:	;
that	WDT	that
’s	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
level	NN	level
of	IN	of
chores	NNS	chore
and	CC	and
childcare	NN	childcare
I	PP	I
normally	RB	normally
do	VBP	do
.	SENT	.
I	PP	I
’m	NN	<unknown>
just	RB	just
contrasting	VBG	contrast
it	PP	it
with	IN	with
what	WP	what
you	PP	you
think	VBP	think
gets	VBZ	get
done	VBN	do
by	IN	by
itself	PP	itself
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
see	VB	see
that	IN	that
this	DT	this
is	VBZ	be
real	JJ	real
work	NN	work
,	,	,
it	PP	it
takes	VBZ	take
time	NN	time
and	CC	and
energy	NN	energy
,	,	,
and	CC	and
it	PP	it
’s	VBZ	be
going	VBG	go
on	IN	on
in	IN	in
the	DT	the
background	NN	background
all	RB	all
the	DT	the
time	NN	time
.	SENT	.
