There	EX	there
’s	VBZ	be
that	DT	that
guy	NN	guy
in	IN	in
the	DT	the
Location	NP	Location
Rebel	NP	Rebel
community	NN	community
who	WP	who
’s	VBZ	be
an	DT	an
international	JJ	international
lawyer	NN	lawyer
,	,	,
and	CC	and
he	PP	he
represents	VBZ	represent
all	DT	all
sorts	NNS	sort
of	IN	of
people	NNS	people
,	,	,
including	VBG	include
some	DT	some
of	IN	of
those	DT	those
wandering	VBG	wander
entrepreneurs	NNS	entrepreneur
we	PP	we
’d	VBD	have
already	RB	already
heard	VBN	hear
of	IN	of
before	RB	before
.	SENT	.
That	IN	that
at	IN	at
least	JJS	least
suggests	VBZ	suggest
he	PP	he
’s	VBZ	have
got	VBN	get
some	DT	some
ability	NN	ability
and	CC	and
experience	NN	experience
in	IN	in
this	DT	this
kind	NN	kind
of	IN	of
space	NN	space
.	SENT	.
I	PP	I
’m	NN	<unknown>
just	RB	just
not	RB	not
sure	JJ	sure
if	IN	if
he	PP	he
’s	VBZ	be
actually	RB	actually
the	DT	the
right	JJ	right
person	NN	person
for	IN	for
us	PP	us
to	TO	to
engage	VB	engage
with	IN	with
.	SENT	.
I	PP	I
’m	NN	<unknown>
also	RB	also
wondering	VBG	wonder
whether	IN	whether
going	VBG	go
to	TO	to
him	PP	him
specifically	RB	specifically
through	IN	through
Location	NP	Location
Rebel	NP	Rebel
would	MD	would
give	VB	give
us	PP	us
a	DT	a
better	JJR	good
angle	NN	angle
or	CC	or
deal	NN	deal
than	IN	than
just	RB	just
approaching	VBG	approach
him	PP	him
independently	RB	independently
.	SENT	.
