My	PP$	my
next–door	JJ	<unknown>
neighbour	NN	neighbour
was	VBD	be
vegetarian	JJ	vegetarian
for	IN	for
,	,	,
what	WP	what
,	,	,
ten	CD	ten
,	,	,
fifteen	CD	fifteen
years	NNS	year
,	,	,
really	RB	really
strict	JJ	strict
with	IN	with
it	PP	it
,	,	,
and	CC	and
then	RB	then
one	CD	one
day	NN	day
we	PP	we
were	VBD	be
all	DT	all
at	IN	at
this	DT	this
barbecue	NN	barbecue
and	CC	and
she	PP	she
just	RB	just
suddenly	RB	suddenly
said	VBD	say
she	PP	she
really	RB	really
fancied	VBD	fancy
a	DT	a
sausage	NN	sausage
.	SENT	.
So	RB	so
she	PP	she
had	VBD	have
one	CD	one
,	,	,
just	RB	just
like	IN	like
that	DT	that
,	,	,
and	CC	and
from	IN	from
then	RB	then
on	IN	on
she	PP	she
was	VBD	be
back	RB	back
on	IN	on
meat	NN	meat
,	,	,
no	DT	no
big	JJ	big
announcement	NN	announcement
or	CC	or
anything	NN	anything
.	SENT	.
Nobody	NN	nobody
said	VBD	say
a	DT	a
word	NN	word
to	TO	to
her	PP	her
about	IN	about
it	PP	it
,	,	,
nobody	NN	nobody
had	VBD	have
a	DT	a
go	NN	go
or	CC	or
questioned	VBD	question
her	PP	her
,	,	,
she	PP	she
just	RB	just
changed	VBD	change
what	WP	what
she	PP	she
was	VBD	be
doing	VBG	do
and	CC	and
carried	VBD	carry
on	RP	on
.	SENT	.
I	PP	I
do	VBP	do
think	VB	think
it	PP	it
’s	VBZ	be
up	RB	up
to	TO	to
each	DT	each
person	NN	person
whether	IN	whether
they	PP	they
’re	VBP	be
vegetarian	JJ	vegetarian
or	CC	or
not	RB	not
,	,	,
but	CC	but
it	PP	it
did	VBD	do
seem	VB	seem
a	DT	a
bit	NN	bit
odd	NN	odd
how	WRB	how
quickly	RB	quickly
she	PP	she
switched	VBD	switch
.	SENT	.
