what	WP	what
I	PP	I
’ll	RB	<unknown>
do	VBP	do
is	VBZ	be
still	RB	still
offer	VB	offer
her	PP	her
the	DT	the
option	NN	option
of	IN	of
going	VBG	go
to	TO	to
the	DT	the
farm	NN	farm
,	,	,
just	RB	just
in	IN	in
case	NN	case
she	PP	she
actually	RB	actually
fancies	VBZ	fancy
it	PP	it
despite	IN	despite
sounding	VBG	sound
dismissive	JJ	dismissive
before	RB	before
.	SENT	.
But	CC	but
really	RB	really
,	,	,
I	PP	I
think	VBP	think
today	NN	today
I	PP	I
need	VBP	need
to	TO	to
concentrate	VB	concentrate
on	IN	on
chasing	VBG	chase
people	NNS	people
about	IN	about
the	DT	the
Heidelberg	NP	Heidelberg
trip	NN	trip
.	SENT	.
First	RB	first
I	PP	I
’ve	VBP	have
got	VBN	get
to	TO	to
phone	VB	phone
the	DT	the
usual	JJ	usual
organiser	NN	organiser
and	CC	and
get	VB	get
the	DT	the
contact	NN	contact
details	NNS	detail
for	IN	for
that	DT	that
Italian	JJ	Italian
woman	NN	woman
,	,	,
because	IN	because
her	PP$	her
emails	NNS	email
keep	VB	keep
bouncing	VBG	bounce
back	RB	back
–	:	-
I	PP	I
’m	NN	<unknown>
sure	RB	sure
it	PP	it
’s	VBZ	be
because	IN	because
her	PP$	her
name	NN	name
’s	VBZ	have
been	VBN	be
misspelt	VBN	misspell
.	SENT	.
Once	RB	once
I	PP	I
’ve	VBP	have
finally	RB	finally
got	VBN	get
the	DT	the
correct	JJ	correct
address	NN	address
,	,	,
I	PP	I
’ll	RB	<unknown>
email	VBP	<unknown>
her	PP	her
,	,	,
and	CC	and
then	RB	then
this	DT	this
evening	NN	evening
I	PP	I
’ll	RB	<unknown>
ring	VBP	ring
everyone	NN	everyone
to	TO	to
see	VB	see
if	IN	if
they	PP	they
’re	VBP	be
interested	JJ	interested
.	SENT	.
I	PP	I
might	MD	might
end	VB	end
up	RP	up
getting	VBG	get
a	DT	a
bit	NN	bit
snappy	JJ	snappy
doing	VBG	do
all	PDT	all
that	DT	that
.	SENT	.
