No	UH	no
,	,	,
I	PP	I
really	RB	really
do	VBP	do
n’t	RB	n't
fancy	VB	fancy
another	DT	another
ten	CD	ten
years	NNS	year
of	IN	of
it	PP	it
.	SENT	.
It	PP	it
’s	VBZ	be
actually	RB	actually
quite	RB	quite
hard	RB	hard
being	VBG	be
the	DT	the
oldest	JJS	old
person	NN	person
in	IN	in
the	DT	the
office	NN	office
,	,	,
especially	RB	especially
when	WRB	when
you	PP	you
know	VBP	know
there	EX	there
are	VBP	be
people	NNS	people
there	RB	there
who	WP	who
’d	MD	will
really	RB	really
like	VB	like
the	DT	the
older	JJR	old
ones	NNS	one
to	TO	to
pack	VB	pack
it	PP	it
in	RP	in
and	CC	and
go	VB	go
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
hang	VB	hang
on	IN	on
until	IN	until
it	PP	it
all	RB	all
feels	VBZ	feel
like	IN	like
a	DT	a
grind	NN	grind
.	SENT	.
I	PP	I
’d	MD	will
rather	RB	rather
stop	VB	stop
when	WRB	when
it	PP	it
starts	VBZ	start
to	TO	to
feel	VB	feel
like	IN	like
a	DT	a
trial	NN	trial
,	,	,
when	WRB	when
every	DT	every
day	NN	day
’s	VBZ	be
just	RB	just
the	DT	the
same	JJ	same
and	CC	and
I	PP	I
’m	NN	<unknown>
struggling	VBG	struggle
to	TO	to
come	VB	come
up	RP	up
with	IN	with
new	JJ	new
ideas	NNS	idea
,	,	,
instead	RB	instead
of	IN	of
dragging	VBG	drag
it	PP	it
out	RP	out
just	RB	just
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
it	PP	it
.	SENT	.
