When	WRB	when
I	PP	I
was	VBD	be
helping	VBG	help
the	DT	the
German	JJ	German
teacher	NN	teacher
at	IN	at
my	PP$	my
old	JJ	old
school	NN	school
,	,	,
we	PP	we
tried	VBD	try
something	NN	something
a	DT	a
bit	NN	bit
different	JJ	different
with	IN	with
the	DT	the
students	NNS	student
who	WP	who
’d	VBD	have
actually	RB	actually
chosen	VBN	choose
to	TO	to
do	VB	do
German	JJ	German
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
take	VB	take
them	PP	them
out	RP	out
of	IN	of
the	DT	the
classroom	NN	classroom
one	CD	one
by	IN	by
one	CD	one
and	CC	and
sit	VB	sit
with	IN	with
them	PP	them
,	,	,
just	RB	just
going	VBG	go
through	IN	through
the	DT	the
exam	NN	exam
questions	NNS	question
together	RB	together
.	SENT	.
It	PP	it
was	VBD	be
interesting	JJ	interesting
,	,	,
because	IN	because
as	RB	as
soon	RB	soon
as	IN	as
they	PP	they
were	VBD	be
on	IN	on
their	PP$	their
own	JJ	own
with	IN	with
me	PP	me
they	PP	they
’d	MD	will
start	VB	start
off	RP	off
saying	VBG	say
they	PP	they
did	VBD	do
n’t	RB	n't
know	VB	know
anything	NN	anything
at	IN	at
all	DT	all
.	SENT	.
But	CC	but
then	RB	then
,	,	,
as	IN	as
we	PP	we
went	VBD	go
through	IN	through
the	DT	the
questions	NNS	question
,	,	,
they	PP	they
gradually	RB	gradually
realised	VBD	realise
they	PP	they
did	VBD	do
actually	RB	actually
know	VB	know
the	DT	the
material	NN	material
after	IN	after
all	DT	all
.	SENT	.
