when	WRB	when
I	PP	I
used	VBD	use
to	TO	to
stay	VB	stay
with	IN	with
me	PP	me
nana	NN	nana
I	PP	I
’d	MD	will
wake	VB	wake
up	RP	up
really	RB	really
early	RB	early
,	,	,
like	VBP	like
properly	RB	properly
crack	VB	crack
of	IN	of
dawn	NN	dawn
,	,	,
and	CC	and
she	PP	she
’d	MD	will
always	RB	always
let	VB	let
us	PP	us
climb	VB	climb
into	IN	into
bed	NN	bed
with	IN	with
her	PP	her
.	SENT	.
she	PP	she
had	VBD	have
this	DT	this
little	JJ	little
black‑and‑white	JJ	black‑and‑white
telly	NN	telly
right	RB	right
next	JJ	next
to	TO	to
the	DT	the
bed	NN	bed
,	,	,
and	CC	and
Catch	VB	catch
The	DT	the
Pigeon	NP	Pigeon
always	RB	always
seemed	VBD	seem
to	TO	to
be	VB	be
on	IN	on
.	SENT	.
I	PP	I
’d	MD	will
be	VB	be
dead	RB	dead
excited	VBN	excite
,	,	,
bouncing	VBG	bounce
a	DT	a
bit	NN	bit
and	CC	and
going	VBG	go
“	``	"
Catch	VB	catch
The	DT	the
Pigeon	NP	Pigeon
!	SENT	!
Catch	VB	catch
The	DT	the
Pigeon	NP	Pigeon
!	SENT	!
”	''	"
at	IN	at
the	DT	the
screen	NN	screen
,	,	,
and	CC	and
she	PP	she
’d	MD	will
be	VB	be
there	RB	there
next	JJ	next
to	TO	to
us	PP	us
going	VBG	go
“	``	"
shh	NN	shh
,	,	,
shh	NP	shh
,	,	,
quiet	JJ	quiet
,	,	,
”	''	"
trying	VBG	try
to	TO	to
keep	VB	keep
us	PP	us
calm	VB	calm
,	,	,
but	CC	but
still	RB	still
letting	VBG	let
us	PP	us
stay	VBP	stay
there	RB	there
and	CC	and
watch	VB	watch
it	PP	it
with	IN	with
her	PP	her
.	SENT	.
