When	WRB	when
we	PP	we
went	VBD	go
out	RP	out
driving	VBG	drive
on	IN	on
the	DT	the
Sunday	NP	Sunday
it	PP	it
was	VBD	be
absolutely	RB	absolutely
fine	JJ	fine
for	IN	for
us	PP	us
,	,	,
the	DT	the
roads	NNS	road
were	VBD	be
clear	JJ	clear
enough	RB	enough
to	TO	to
get	VB	get
around	RP	around
.	SENT	.
But	CC	but
all	DT	all
around	IN	around
that	WDT	that
loop	VBP	loop
road	NN	road
there	EX	there
was	VBD	be
this	DT	this
really	RB	really
long	JJ	long
line	NN	line
of	IN	of
cars	NNS	car
just	RB	just
parked	VBN	park
up	RP	up
on	IN	on
the	DT	the
verges	NNS	verge
.	SENT	.
The	DT	the
main	JJ	main
road	NN	road
had	VBD	have
been	VBN	be
cleared	VBN	clear
,	,	,
but	CC	but
obviously	RB	obviously
people	NNS	people
still	RB	still
could	MD	could
n’t	RB	n't
get	VB	get
their	PP$	their
cars	NNS	car
into	IN	into
the	DT	the
side	NN	side
roads	NNS	road
,	,	,
so	RB	so
they	PP	they
’d	VBD	have
just	RB	just
left	VBN	leave
them	PP	them
there	RB	there
and	CC	and
walked	VBD	walk
home	RB	home
instead	RB	instead
.	SENT	.
I	PP	I
remember	VBP	remember
thinking	VBG	think
it	PP	it
looked	VBD	look
so	RB	so
odd	JJ	odd
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
that	IN	that
,	,	,
all	PDT	all
those	DT	those
cars	NNS	car
lined	VBD	line
up	RP	up
in	IN	in
the	DT	the
snow	NN	snow
?	SENT	?
