when	WRB	when
you	PP	you
see	VBP	see
them	PP	them
in	IN	in
real	JJ	real
life	NN	life
it	PP	it
’s	VBZ	be
just	RB	just
so	RB	so
much	RB	much
better	JJR	good
than	IN	than
on	IN	on
postcards	NNS	postcard
or	CC	or
bags	NNS	bag
or	CC	or
anything	NN	anything
like	IN	like
that	DT	that
because	IN	because
the	DT	the
colours	NNS	colour
are	VBP	be
really	RB	really
true	JJ	true
and	CC	and
vivid	JJ	vivid
and	CC	and
you	PP	you
can	MD	can
see	VB	see
all	PDT	all
the	DT	the
brushstrokes	NNS	brushstroke
properly	RB	properly
you	PP	you
do	VBP	do
n’t	RB	n't
get	VB	get
that	IN	that
at	IN	at
all	DT	all
on	IN	on
the	DT	the
little	JJ	little
printed	JJ	printed
replicas	NNS	replica
they	PP	they
always	RB	always
look	VBP	look
a	DT	a
bit	NN	bit
flat	NN	flat
and	CC	and
sort	NN	sort
of	IN	of
wrong	JJ	wrong
somehow	RB	somehow
and	CC	and
I	PP	I
had	VBD	have
n’t	RB	n't
realised	VBN	realise
until	IN	until
I	PP	I
went	VBD	go
to	TO	to
that	DT	that
exhibition	NN	exhibition
that	IN	that
he	PP	he
was	VBD	be
really	RB	really
quite	RB	quite
obsessed	VBN	obsess
with	IN	with
Japan	NP	Japan
actually	RB	actually
it	PP	it
only	RB	only
really	RB	really
struck	VBD	strike
me	PP	me
then	RB	then
