His	PP$	his
new	JJ	new
album	NN	album
’s	VBZ	be
really	RB	really
interesting	JJ	interesting
,	,	,
actually	RB	actually
–	:	-
for	IN	for
someone	NN	someone
who	WP	who
’s	VBZ	be
Jewish	JJ	Jewish
,	,	,
it	PP	it
’s	VBZ	be
full	JJ	full
of	IN	of
all	PDT	all
these	DT	these
really	RB	really
Christian‑sounding	JJ	Christian‑sounding
,	,	,
quite	RB	quite
biblical	JJ	biblical
references	NNS	reference
,	,	,
very	RB	very
New	NP	New
Testament‑y	NP	<unknown>
in	IN	in
places	NNS	place
.	SENT	.
He	PP	he
’s	VBZ	be
such	PDT	such
an	DT	an
interesting	JJ	interesting
character	NN	character
,	,	,
but	CC	but
he	PP	he
still	RB	still
comes	VBZ	come
across	RP	across
as	RB	as
pretty	RB	pretty
depressed	VBN	depress
.	SENT	.
There	EX	there
’s	VBZ	be
that	DT	that
line	NN	line
about	IN	about
asking	VBG	ask
an	DT	an
ex‑lover	NN	ex‑lover
,	,	,
who	WP	who
absolutely	RB	absolutely
hates	VBZ	hate
him	PP	him
,	,	,
to	TO	to
“	``	"
hate	VB	hate
me	PP	me
less	JJR	less
,	,	,
”	''	"
which	WDT	which
is	VBZ	be
just	RB	just
so	RB	so
bleak	JJ	bleak
and	CC	and
self‑lacerating	JJ	<unknown>
.	SENT	.
It	PP	it
really	RB	really
fits	VBZ	fit
with	IN	with
that	DT	that
whole	JJ	whole
sense	NN	sense
of	IN	of
him	PP	him
wrestling	VBG	wrestle
with	IN	with
faith	NN	faith
and	CC	and
guilt	NN	guilt
and	CC	and
love	VB	love
all	DT	all
at	IN	at
once	RB	once
,	,	,
in	IN	in
this	DT	this
really	RB	really
heavy	JJ	heavy
,	,	,
melancholy	JJ	melancholy
way	NN	way
.	SENT	.
