No	UH	no
,	,	,
it	PP	it
wo	MD	wo
n’t	RB	n't
really	RB	really
be	VB	be
a	DT	a
ten‑hour	NN	<unknown>
day	NN	day
,	,	,
because	IN	because
you	PP	you
ca	MD	ca
n’t	RB	n't
offload	VB	offload
once	IN	once
it	PP	it
’s	VBZ	be
dark	JJ	dark
,	,	,
so	RB	so
that	DT	that
limits	NNS	limit
everything	NN	everything
straightaway	NN	straightaway
.	SENT	.
The	DT	the
way	NN	way
it	PP	it
usually	RB	usually
works	VBZ	work
is	VBZ	be
you	PP	you
get	VBP	get
there	RB	there
for	IN	for
about	RB	about
eight	CD	eight
,	,	,
and	CC	and
you	PP	you
’ll	RB	<unknown>
probably	RB	probably
only	RB	only
have	VB	have
,	,	,
what	WP	what
,	,	,
three	CD	three
wagons	NNS	wagon
in	IN	in
a	DT	a
day	NN	day
?	SENT	?
Each	DT	each
wagon	NN	wagon
’s	VBZ	be
only	RB	only
got	VBN	get
four	CD	four
pipes	NNS	pipe
on	IN	on
it	PP	it
,	,	,
and	CC	and
it	PP	it
takes	VBZ	take
about	RB	about
two	CD	two
hours	NNS	hour
to	TO	to
offload	VB	offload
a	DT	a
wagon	NN	wagon
properly	RB	properly
.	SENT	.
So	RB	so
you	PP	you
’re	VBP	be
talking	VBG	talk
roughly	RB	roughly
six	CD	six
hours	NNS	hour
’	POS	'
actual	JJ	actual
offloading	VBG	offload
,	,	,
maximum	NN	maximum
.	SENT	.
You	PP	you
just	RB	just
ca	MD	ca
n’t	RB	n't
stretch	VB	stretch
it	PP	it
to	TO	to
ten	CD	ten
,	,	,
because	IN	because
the	DT	the
daylight	NN	daylight
and	CC	and
the	DT	the
number	NN	number
of	IN	of
wagons	NNS	wagon
and	CC	and
pipes	NNS	pipe
set	VBD	set
a	DT	a
hard	JJ	hard
limit	NN	limit
on	IN	on
how	WRB	how
much	JJ	much
you	PP	you
can	MD	can
do	VB	do
.	SENT	.
