there	EX	there
's	VBZ	be
this	DT	this
famous	JJ	famous
quote	NN	quote
that	WDT	that
really	RB	really
sums	VBZ	sum
it	PP	it
up	RP	up
:	:	:
“	``	"
a	DT	a
language	NN	language
is	VBZ	be
a	DT	a
dialect	NN	dialect
with	IN	with
an	DT	an
army	NN	army
and	CC	and
funding	NN	funding
.	SENT	.
”	''	"
what	WP	what
I	PP	I
mean	VBP	mean
is	VBZ	be
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
what	WP	what
we	PP	we
call	VBP	call
different	JJ	different
“	``	"
languages	NNS	language
”	''	"
are	VBP	be
basically	RB	basically
just	RB	just
dialects	NNS	dialect
,	,	,
but	CC	but
politics	NNS	politics
and	CC	and
borders	NNS	border
turn	VBP	turn
them	PP	them
into	IN	into
separate	JJ	separate
things	NNS	thing
on	IN	on
paper	NN	paper
.	SENT	.
take	VB	take
Pakistan	NP	Pakistan
and	CC	and
India	NP	India
,	,	,
for	IN	for
example	NN	example
:	:	:
you	PP	you
’ve	VBP	have
got	VBN	get
Urdu	JJ	Urdu
on	IN	on
one	CD	one
side	NN	side
and	CC	and
this	DT	this
other	JJ	other
really	RB	really
closely	RB	closely
related	VBN	relate
language	NN	language
on	IN	on
the	DT	the
other	JJ	other
.	SENT	.
in	IN	in
practice	NN	practice
they	PP	they
’re	VBP	be
effectively	RB	effectively
the	DT	the
same	JJ	same
language	NN	language
,	,	,
people	NNS	people
can	MD	can
understand	VB	understand
each	DT	each
other	JJ	other
,	,	,
but	CC	but
each	DT	each
country	NN	country
insists	VBZ	insist
on	IN	on
its	PP$	its
own	JJ	own
name	NN	name
and	CC	and
treats	VBZ	treat
it	PP	it
as	RB	as
separate	JJ	separate
.	SENT	.
it	PP	it
’s	VBZ	be
more	JJR	more
about	IN	about
national	JJ	national
identity	NN	identity
than	IN	than
real	JJ	real
linguistic	JJ	linguistic
difference	NN	difference
.	SENT	.
do	VB	do
you	PP	you
know	VB	know
what	WP	what
I	PP	I
’m	NN	<unknown>
talking	VBG	talk
about	RB	about
?	SENT	?
