No	UH	no
,	,	,
it	PP	it
is	VBZ	be
much	RB	much
worse	JJR	bad
,	,	,
legally	RB	legally
.	SENT	.
From	IN	from
when	WRB	when
I	PP	I
was	VBD	be
working	VBG	work
on	IN	on
Big	JJ	big
Brother	NN	brother
,	,	,
we	PP	we
were	VBD	be
only	RB	only
allowed	VBN	allow
to	TO	to
give	VB	give
them	PP	them
a	DT	a
very	RB	very
limited	JJ	limited
amount	NN	amount
of	IN	of
alcohol	NN	alcohol
.	SENT	.
They	PP	they
never	RB	never
actually	RB	actually
got	VBD	get
as	RB	as
drunk	JJ	drunk
as	IN	as
they	PP	they
seem	VBP	seem
on	IN	on
screen	NN	screen
,	,	,
because	IN	because
you	PP	you
’re	VBP	be
just	RB	just
not	RB	not
allowed	VBN	allow
to	TO	to
give	VB	give
them	PP	them
that	IN	that
much	RB	much
,	,	,
legally	RB	legally
.	SENT	.
That	DT	that
’s	VBZ	be
the	DT	the
whole	JJ	whole
point	NN	point
of	IN	of
the	DT	the
rules	NNS	rule
around	IN	around
it	PP	it
.	SENT	.
Whereas	IN	whereas
with	IN	with
something	NN	something
like	IN	like
Geordie	NP	Geordie
Shore	NP	Shore
,	,	,
I	PP	I
’d	MD	will
imagine	VB	imagine
they	PP	they
can	MD	can
drink	VB	drink
as	RB	as
much	RB	much
as	IN	as
they	PP	they
want	VBP	want
because	IN	because
the	DT	the
show	NN	show
technically	RB	technically
is	VBZ	be
n’t	RB	n't
providing	VBG	provide
it	PP	it
,	,	,
though	IN	though
I	PP	I
honestly	RB	honestly
doubt	VBP	doubt
the	DT	the
show	NN	show
never	RB	never
supplies	VBZ	supply
any	DT	any
alcohol	NN	alcohol
.	SENT	.
