well	RB	well
over	IN	over
that	DT	that
eighteen	CD	eighteen
months	NNS	month
I	PP	I
was	VBD	be
back	RB	back
and	CC	and
forth	RB	forth
to	TO	to
the	DT	the
doctor	NN	doctor
,	,	,
really	RB	really
quite	PDT	quite
a	DT	a
lot	NN	lot
,	,	,
because	IN	because
this	DT	this
spotting	VBG	spot
just	RB	just
went	VBD	go
on	RP	on
and	CC	and
on	RP	on
and	CC	and
I	PP	I
was	VBD	be
also	RB	also
putting	VBG	put
on	IN	on
weight	NN	weight
.	SENT	.
They	PP	they
picked	VBD	pick
up	RP	up
that	IN	that
I	PP	I
had	VBD	have
an	DT	an
underactive	JJ	underactive
thyroid	NN	thyroid
and	CC	and
high	JJ	high
blood	NN	blood
pressure	NN	pressure
,	,	,
so	RB	so
I	PP	I
was	VBD	be
diagnosed	VBN	diagnose
and	CC	and
treated	VBN	treat
for	IN	for
those	DT	those
.	SENT	.
But	CC	but
all	PDT	all
the	DT	the
way	NN	way
through	IN	through
I	PP	I
kept	VBD	keep
saying	VBG	say
,	,	,
“	``	"
I	PP	I
’m	NN	<unknown>
still	RB	still
bleeding	VBG	bleed
,	,	,
this	DT	this
spotting	VBG	spot
is	VBZ	be
still	RB	still
happening	VBG	happen
,	,	,
”	''	"
and	CC	and
the	DT	the
doctor	NN	doctor
kept	VBD	keep
sort	NN	sort
of	IN	of
folding	VBG	fold
it	PP	it
into	IN	into
the	DT	the
thyroid	JJ	thyroid
diagnosis	NN	diagnosis
,	,	,
as	RB	as
if	IN	if
that	DT	that
explained	VBD	explain
it	PP	it
and	CC	and
that	DT	that
was	VBD	be
that	DT	that
.	SENT	.
So	RB	so
I	PP	I
was	VBD	be
going	VBG	go
back	RB	back
,	,	,
saying	VBG	say
,	,	,
“	``	"
I	PP	I
’m	NN	<unknown>
still	RB	still
bleeding	VBG	bleed
,	,	,
”	''	"
and	CC	and
they	PP	they
were	VBD	be
adjusting	VBG	adjust
the	DT	the
thyroid	JJ	thyroid
medication	NN	medication
and	CC	and
dealing	VBG	deal
with	IN	with
the	DT	the
blood	NN	blood
pressure	NN	pressure
,	,	,
but	CC	but
the	DT	the
bleeding	NN	bleeding
never	RB	never
really	RB	really
stopped	VBN	stop
.	SENT	.
It	PP	it
was	VBD	be
persistent	JJ	persistent
,	,	,
and	CC	and
I	PP	I
kept	VBD	keep
reporting	VBG	report
it	PP	it
.	SENT	.
It	PP	it
was	VBD	be
n’t	RB	n't
like	IN	like
I	PP	I
mentioned	VBD	mention
it	PP	it
once	RB	once
and	CC	and
then	RB	then
went	VBD	go
away	RP	away
;	:	;
it	PP	it
was	VBD	be
a	DT	a
repeated	JJ	repeated
thing	NN	thing
over	IN	over
a	DT	a
long	JJ	long
stretch	NN	stretch
of	IN	of
time	NN	time
,	,	,
and	CC	and
still	RB	still
it	PP	it
was	VBD	be
kind	NN	kind
of	IN	of
put	VBN	put
down	RP	down
to	TO	to
the	DT	the
thyroid	JJ	thyroid
problem	NN	problem
.	SENT	.
Eventually	RB	eventually
,	,	,
after	IN	after
about	RB	about
eighteen	CD	eighteen
months	NNS	month
of	IN	of
this	DT	this
,	,	,
I	PP	I
did	VBD	do
finally	RB	finally
get	VB	get
referred	VBN	refer
to	TO	to
a	DT	a
gynaecologist	NN	gynaecologist
.	SENT	.
Once	RB	once
I	PP	I
saw	VBD	see
the	DT	the
gynaecologist	NN	gynaecologist
,	,	,
they	PP	they
did	VBD	do
a	DT	a
very	RB	very
simple	JJ	simple
procedure	NN	procedure
–	:	-
just	RB	just
a	DT	a
scrape	NN	scrape
of	IN	of
the	DT	the
lining	NN	lining
of	IN	of
the	DT	the
womb	NN	womb
.	SENT	.
It	PP	it
’s	VBZ	be
not	RB	not
some	DT	some
huge	JJ	huge
,	,	,
elaborate	JJ	elaborate
thing	NN	thing
;	:	;
it	PP	it
’s	VBZ	be
actually	RB	actually
very	RB	very
straightforward	JJ	straightforward
and	CC	and
cheap	JJ	cheap
to	TO	to
do	VB	do
.	SENT	.
They	PP	they
took	VBD	take
that	IN	that
sample	NN	sample
and	CC	and
sent	VBD	send
me	PP	me
off	IN	off
home	NN	home
.	SENT	.
Then	RB	then
,	,	,
that	DT	that
same	JJ	same
day	NN	day
,	,	,
the	DT	the
hospital	NN	hospital
rang	VBD	ring
me	PP	me
back	RB	back
and	CC	and
said	VBD	say
I	PP	I
needed	VBD	need
to	TO	to
come	VB	come
in	IN	in
.	SENT	.
That	DT	that
’s	VBZ	be
when	WRB	when
they	PP	they
told	VBD	tell
me	PP	me
it	PP	it
was	VBD	be
endometrial	JJ	endometrial
cancer	NN	cancer
.	SENT	.
So	RB	so
after	IN	after
all	PDT	all
that	DT	that
time	NN	time
of	IN	of
going	VBG	go
to	TO	to
the	DT	the
GP	NN	GP
with	IN	with
this	DT	this
persistent	JJ	persistent
spotting	VBG	spot
and	CC	and
being	VBG	be
treated	VBN	treat
for	IN	for
other	JJ	other
things	NNS	thing
,	,	,
it	PP	it
was	VBD	be
this	DT	this
one	CD	one
simple	JJ	simple
uterine	JJ	uterine
lining	NN	lining
scrape	NN	scrape
,	,	,
once	RB	once
I	PP	I
finally	RB	finally
got	VBD	get
to	TO	to
a	DT	a
specialist	NN	specialist
,	,	,
that	WDT	that
gave	VBD	give
the	DT	the
answer	NN	answer
and	CC	and
led	VBD	lead
to	TO	to
the	DT	the
diagnosis	NN	diagnosis
.	SENT	.
