right	RB	right
so	RB	so
there	EX	there
’s	VBZ	be
this	DT	this
bloke	NN	bloke
in	IN	in
hospital	NN	hospital
,	,	,
really	RB	really
badly	RB	badly
injured	VBN	injure
,	,	,
all	RB	all
bandaged	VBN	bandage
up	RP	up
and	CC	and
everything	NN	everything
,	,	,
and	CC	and
his	PP$	his
poor	JJ	poor
wife	NN	wife
comes	VBZ	come
in	IN	in
to	TO	to
see	VB	see
him	PP	him
.	SENT	.
she	PP	she
’s	VBZ	be
talking	VBG	talk
to	TO	to
the	DT	the
doctor	NN	doctor
and	CC	and
she	PP	she
says	VBZ	say
,	,	,
“	``	"
how	WRB	how
’s	VBZ	be
my	PP$	my
husband	NN	husband
doing	VBG	do
?	SENT	?
”	''	"
and	CC	and
the	DT	the
doctor	NN	doctor
says	VBZ	say
,	,	,
“	``	"
well	UH	well
,	,	,
he	PP	he
’s	VBZ	be
not	RB	not
too	RB	too
good	JJ	good
,	,	,
but	CC	but
you	PP	you
know	VBP	know
,	,	,
at	IN	at
least	JJS	least
he	PP	he
’s	VBZ	be
still	RB	still
got	VBN	get
all	PDT	all
his	PP$	his
bits	NNS	bit
more	RBR	more
or	CC	or
less	RBR	less
together	RB	together
.	SENT	.
”	''	"
then	RB	then
she	PP	she
looks	VBZ	look
round	VB	round
the	DT	the
ward	NN	ward
and	CC	and
she	PP	she
says	VBZ	say
,	,	,
“	``	"
what	WP	what
about	IN	about
that	DT	that
man	NN	man
over	IN	over
there	RB	there
?	SENT	?
”	''	"
and	CC	and
the	DT	the
doctor	NN	doctor
goes	VBZ	go
,	,	,
“	``	"
oh	UH	oh
him	PP	him
,	,	,
he	PP	he
was	VBD	be
in	IN	in
a	DT	a
terrible	JJ	terrible
state	NN	state
,	,	,
we	PP	we
had	VBD	have
to	TO	to
take	VB	take
almost	RB	almost
everything	NN	everything
,	,	,
all	PDT	all
that	DT	that
’s	VBZ	be
left	RB	left
now	RB	now
is	VBZ	be
his	PP$	his
head	NN	head
on	IN	on
the	DT	the
pillow	NN	pillow
.	SENT	.
”	''	"
so	IN	so
the	DT	the
next	JJ	next
time	NN	time
she	PP	she
comes	VBZ	come
in	IN	in
,	,	,
she	PP	she
walks	VBZ	walk
past	IN	past
this	DT	this
head	NN	head
on	IN	on
the	DT	the
pillow	NN	pillow
and	CC	and
she	PP	she
’s	VBZ	be
very	RB	very
polite	JJ	polite
,	,	,
she	PP	she
goes	VBZ	go
,	,	,
“	``	"
good	JJ	good
afternoon	NN	afternoon
,	,	,
”	''	"
and	CC	and
smiles	VBZ	smile
nicely	RB	nicely
.	SENT	.
she	PP	she
does	VBZ	do
this	DT	this
every	DT	every
time	NN	time
she	PP	she
visits	VBZ	visit
,	,	,
just	RB	just
,	,	,
“	``	"
good	JJ	good
afternoon	NN	afternoon
,	,	,
”	''	"
and	CC	and
on	IN	on
it	PP	it
goes	VBZ	go
,	,	,
visit	NN	visit
after	IN	after
visit	NN	visit
.	SENT	.
and	CC	and
then	RB	then
one	CD	one
day	NN	day
she	PP	she
walks	VBZ	walk
past	IN	past
him	PP	him
again	RB	again
,	,	,
all	DT	all
cheery	JJ	cheery
,	,	,
“	``	"
good	JJ	good
afternoon	NN	afternoon
,	,	,
”	''	"
and	CC	and
the	DT	the
head	NN	head
just	RB	just
suddenly	RB	suddenly
goes	VBZ	go
,	,	,
“	``	"
fuck	VB	fuck
off	RP	off
.	SENT	.
”	''	"
and	CC	and
that	DT	that
’s	VBZ	be
the	DT	the
punchline	NN	punchline
,	,	,
but	CC	but
you	PP	you
know	VBP	know
,	,	,
dad	NN	dad
would	MD	would
never	RB	never
have	VB	have
said	VBN	say
that	IN	that
,	,	,
he	PP	he
’d	MD	will
never	RB	never
use	VB	use
that	DT	that
phrase	NN	phrase
.	SENT	.
