My	PP$	my
old	JJ	old
car	NN	car
was	VBD	be
probably	RB	probably
only	RB	only
worth	JJ	worth
about	IN	about
five	CD	five
hundred	CD	hundred
quid	NN	quid
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
.	SENT	.
The	DT	the
dealer	NN	dealer
first	RB	first
offered	VBD	offer
me	PP	me
six	CD	six
fifty	CD	fifty
for	IN	for
it	PP	it
,	,	,
which	WDT	which
I	PP	I
already	RB	already
thought	VBD	think
was	VBD	be
pretty	RB	pretty
generous	JJ	generous
.	SENT	.
Then	RB	then
I	PP	I
told	VBD	tell
him	PP	him
how	WRB	how
much	JJ	much
cash	NN	cash
I	PP	I
actually	RB	actually
had	VBD	have
,	,	,
and	CC	and
he	PP	he
did	VBD	do
that	IN	that
whole	JJ	whole
“	``	"
I	PP	I
’ll	RB	<unknown>
just	RB	just
check	VB	check
with	IN	with
my	PP$	my
manager	NN	manager
”	''	"
routine	NN	routine
.	SENT	.
He	PP	he
disappeared	VBD	disappear
for	IN	for
a	DT	a
bit	NN	bit
,	,	,
came	VBD	come
back	RB	back
and	CC	and
was	VBD	be
like	JJ	like
,	,	,
you	PP	you
’ve	VBP	have
got	VBN	get
a	DT	a
really	RB	really
good	JJ	good
deal	NN	deal
here	RB	here
,	,	,
and	CC	and
bumped	VBD	bump
the	DT	the
offer	NN	offer
up	RB	up
to	TO	to
nine	CD	nine
hundred	CD	hundred
.	SENT	.
At	IN	at
that	DT	that
point	NN	point
I	PP	I
was	VBD	be
just	RB	just
like	JJ	like
,	,	,
yep	NNS	<unknown>
,	,	,
I	PP	I
’ll	RB	<unknown>
definitely	RB	definitely
take	VB	take
that	DT	that
.	SENT	.
