’	''	'
s	JJ	<unknown>
mum	NN	mum
is	VBZ	be
brilliant	JJ	brilliant
at	IN	at
this	DT	this
sort	NN	sort
of	IN	of
thing	NN	thing
,	,	,
you	PP	you
know	VBP	know
,	,	,
she	PP	she
’ll	RB	<unknown>
plan	VBP	plan
visits	NNS	visit
and	CC	and
put	VB	put
things	NNS	thing
in	IN	in
her	PP$	her
diary	NN	diary
like	IN	like
the	DT	the
wedding	NN	wedding
,	,	,
so	RB	so
she	PP	she
’s	VBZ	be
always	RB	always
got	VBN	get
something	NN	something
to	TO	to
look	VB	look
forward	RB	forward
to	TO	to
.	SENT	.
It	PP	it
really	RB	really
seems	VBZ	seem
to	TO	to
keep	VB	keep
her	PP$	her
going	VBG	go
.	SENT	.
My	PP$	my
mum	NN	mum
and	CC	and
dad	NN	dad
are	VBP	be
a	DT	a
bit	NN	bit
different	JJ	different
.	SENT	.
Dad	NP	Dad
’s	VBZ	be
pretty	RB	pretty
much	RB	much
immobile	JJ	immobile
now	RB	now
,	,	,
he	PP	he
lives	VBZ	live
downstairs	NN	downstairs
and	CC	and
does	VBZ	do
n’t	RB	n't
really	RB	really
get	VB	get
out	RP	out
.	SENT	.
Mum	NP	Mum
goes	VBZ	go
to	TO	to
Waitrose	NP	<unknown>
every	DT	every
single	JJ	single
day	NN	day
,	,	,
more	JJR	more
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
getting	VBG	get
out	RP	out
of	IN	of
the	DT	the
house	NN	house
and	CC	and
away	RB	away
from	IN	from
him	PP	him
than	IN	than
anything	NN	anything
else	RB	else
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
