there	EX	there
was	VBD	be
this	DT	this
one	CD	one
girl	NN	girl
,	,	,
she	PP	she
was	VBD	be
barely	RB	barely
sixteen	CD	sixteen
,	,	,
special	JJ	special
needs	NNS	need
,	,	,
very	RB	very
vulnerable	JJ	vulnerable
,	,	,
and	CC	and
her	PP$	her
gran	NN	<unknown>
had	VBD	have
been	VBN	be
looking	VBG	look
after	IN	after
her	PP	her
for	IN	for
years	NNS	year
.	SENT	.
then	RB	then
her	PP$	her
grandmother	NN	grandmother
just	RB	just
could	MD	could
n’t	RB	n't
cope	VB	cope
any	DT	any
more	JJR	more
,	,	,
she	PP	she
was	VBD	be
worn	VBN	wear
out	RP	out
,	,	,
and	CC	and
instead	RB	instead
of	IN	of
finding	VBG	find
some	DT	some
sort	NN	sort
of	IN	of
supported	VBN	support
placement	NN	placement
or	CC	or
something	NN	something
with	IN	with
proper	JJ	proper
supervision	NN	supervision
,	,	,
the	DT	the
council	NN	council
just	RB	just
handed	VBD	hand
this	DT	this
girl	NN	girl
her	PP	her
own	VBP	own
flat	JJ	flat
.	SENT	.
I	PP	I
just	RB	just
looked	VBD	look
at	IN	at
it	PP	it
and	CC	and
thought	NN	thought
,	,	,
how	WRB	how
on	IN	on
earth	NN	earth
is	VBZ	be
that	IN	that
safe	JJ	safe
?	SENT	?
how	WRB	how
is	VBZ	be
that	IN	that
appropriate	JJ	appropriate
for	IN	for
someone	NN	someone
like	IN	like
her	PP	her
?	SENT	?
she	PP	she
was	VBD	be
essentially	RB	essentially
on	IN	on
her	PP$	her
own	JJ	own
,	,	,
and	CC	and
it	PP	it
felt	VBD	feel
like	IN	like
we	PP	we
were	VBD	be
just	RB	just
setting	VBG	set
her	PP	her
up	RP	up
for	IN	for
trouble	NN	trouble
.	SENT	.
what	WP	what
really	RB	really
struck	VBD	strike
me	PP	me
was	VBD	be
that	IN	that
in	IN	in
school	NN	school
she	PP	she
was	VBD	be
actually	RB	actually
fine	JJ	fine
.	SENT	.
with	IN	with
clear	JJ	clear
boundaries	NNS	boundary
and	CC	and
structure	NN	structure
she	PP	she
behaved	VBD	behave
well	RB	well
,	,	,
she	PP	she
knew	VBD	know
what	WP	what
was	VBD	be
expected	VBN	expect
and	CC	and
she	PP	she
responded	VBD	respond
to	TO	to
it	PP	it
.	SENT	.
it	PP	it
really	RB	really
showed	VBD	show
how	WRB	how
much	JJ	much
difference	NN	difference
that	IN	that
kind	NN	kind
of	IN	of
environment	NN	environment
can	MD	can
make	VB	make
.	SENT	.
and	CC	and
she	PP	she
was	VBD	be
n’t	RB	n't
unusual	JJ	unusual
,	,	,
either	RB	either
.	SENT	.
we	PP	we
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
pupils	NNS	pupil
like	VBP	like
that	IN	that
,	,	,
coming	VBG	come
to	TO	to
us	PP	us
from	IN	from
mainstream	JJ	mainstream
schools	NNS	school
.	SENT	.
they	PP	they
’d	VBD	have
usually	RB	usually
been	VBN	be
excluded	VBN	exclude
from	IN	from
classrooms	NNS	classroom
,	,	,
shoved	VBD	shove
out	RP	out
because	IN	because
they	PP	they
were	VBD	be
“	``	"
difficult	JJ	difficult
”	''	"
,	,	,
and	CC	and
they	PP	they
’d	VBD	have
spent	VBN	spend
so	RB	so
long	RB	long
not	RB	not
really	RB	really
being	JJ	being
in	IN	in
a	DT	a
learning	VBG	learn
environment	NN	environment
that	IN	that
when	WRB	when
they	PP	they
arrived	VBD	arrive
with	IN	with
us	PP	us
they	PP	they
were	VBD	be
genuinely	RB	genuinely
surprised	VBN	surprise
to	TO	to
be	VB	be
asked	VBN	ask
to	TO	to
do	VB	do
any	DT	any
work	NN	work
at	IN	at
all	DT	all
.	SENT	.
it	PP	it
was	VBD	be
like	IN	like
the	DT	the
whole	JJ	whole
idea	NN	idea
of	IN	of
school	NN	school
as	IN	as
a	DT	a
place	NN	place
where	WRB	where
you	PP	you
actually	RB	actually
learn	VBP	learn
had	VBD	have
just	RB	just
never	RB	never
been	VBN	be
made	VBN	make
real	JJ	real
for	IN	for
them	PP	them
.	SENT	.
