one	CD	one
of	IN	of
the	DT	the
boys	NNS	boy
just	RB	just
said	VBD	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
wanted	VBD	want
to	TO	to
remember	VB	remember
grandad	NN	grandad
how	WRB	how
he	PP	he
’d	VBD	have
last	RB	last
seen	VBN	see
him	PP	him
,	,	,
with	IN	with
that	DT	that
hug	NN	hug
and	CC	and
the	DT	the
“	``	"
good	JJ	good
luck	NN	luck
with	IN	with
your	PP$	your
football	NN	football
and	CC	and
your	PP$	your
kids	NNS	kid
”	''	"
,	,	,
and	CC	and
we	PP	we
just	RB	just
accepted	VBD	accept
that	DT	that
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
,	,	,
that	WDT	that
’s	VBZ	be
fair	JJ	fair
enough	RB	enough
,	,	,
we	PP	we
should	MD	should
n’t	RB	n't
decide	VB	decide
for	IN	for
them	PP	them
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
up	RP	up
on	IN	on
my	PP$	my
own	JJ	own
,	,	,
had	VBD	have
that	DT	that
strange	JJ	strange
feeling	NN	feeling
walking	VBG	walk
away	RB	away
from	IN	from
the	DT	the
hospital	NN	hospital
,	,	,
got	VBN	get
on	IN	on
the	DT	the
train	NN	train
,	,	,
came	VBD	come
home	NN	home
.	SENT	.
Then	RB	then
we	PP	we
got	VBD	get
this	DT	this
phone	NN	phone
call	NN	call
saying	VBG	say
he	PP	he
’d	VBD	have
really	RB	really
gone	VBN	go
downhill	RB	downhill
,	,	,
might	MD	might
not	RB	not
have	VB	have
much	JJ	much
time	NN	time
left	VBD	leave
.	SENT	.
And	CC	and
suddenly	RB	suddenly
we	PP	we
were	VBD	be
in	IN	in
this	DT	this
awful	JJ	awful
limbo	NN	limbo
,	,	,
not	RB	not
knowing	VBG	know
whether	IN	whether
to	TO	to
dash	VB	dash
back	RB	back
up	RB	up
there	RB	there
or	CC	or
not	RB	not
,	,	,
because	IN	because
we	PP	we
did	VBD	do
n’t	RB	n't
know	VB	know
what	WP	what
we	PP	we
’d	MD	will
find	VB	find
when	WRB	when
we	PP	we
got	VBD	get
there	RB	there
,	,	,
or	CC	or
if	IN	if
it	PP	it
was	VBD	be
already	RB	already
too	RB	too
late	RB	late
anyway	RB	anyway
,	,	,
and	CC	and
that	DT	that
uncertainty	NN	uncertainty
just	RB	just
sort	RB	sort
of	IN	of
hung	VBN	hang
over	IN	over
everything	NN	everything
.	SENT	.
