yeah	RB	yeah
exactly	RB	exactly
it	PP	it
’s	VBZ	be
like	IN	like
she	PP	she
’s	VBZ	be
just	RB	just
so	RB	so
nosy	JJ	nosy
,	,	,
like	IN	like
if	IN	if
anything	NN	anything
pops	VBZ	pop
up	RP	up
on	IN	on
my	PP$	my
screen	NN	screen
I	PP	I
know	VBP	know
she	PP	she
’ll	RB	<unknown>
read	VBP	read
it	PP	it
,	,	,
so	RB	so
when	WRB	when
she	PP	she
had	VBD	have
that	DT	that
argument	NN	argument
with	IN	with
our	PP$	our
other	JJ	other
housemate	NN	housemate
I	PP	I
was	VBD	be
already	RB	already
thinking	VBG	think
,	,	,
right	RB	right
,	,	,
just	RB	just
keep	VB	keep
everything	NN	everything
really	RB	really
neutral	JJ	neutral
.	SENT	.
Later	RBR	later
on	IN	on
I	PP	I
went	VBD	go
downstairs	RB	downstairs
to	TO	to
check	VB	check
the	DT	the
other	JJ	other
girl	NN	girl
was	VBD	be
okay	JJ	okay
,	,	,
and	CC	and
I	PP	I
was	VBD	be
really	RB	really
careful	JJ	careful
,	,	,
like	IN	like
properly	RB	properly
deliberate	JJ	deliberate
about	IN	about
not	RB	not
mentioning	VBG	mention
her	PP	her
at	IN	at
all	DT	all
,	,	,
because	IN	because
I	PP	I
could	MD	could
hear	VB	hear
her	PP	her
literally	RB	literally
listening	VBG	listen
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
stairs	NNS	stair
.	SENT	.
I	PP	I
could	MD	could
hear	VB	hear
her	PP	her
up	RP	up
there	RB	there
,	,	,
so	RB	so
I	PP	I
was	VBD	be
thinking	VBG	think
,	,	,
just	RB	just
do	VBP	do
n’t	RB	n't
say	VB	say
her	PP$	her
name	NN	name
,	,	,
do	VBP	do
n’t	RB	n't
even	RB	even
go	VB	go
near	IN	near
it	PP	it
,	,	,
because	IN	because
she	PP	she
’ll	RB	<unknown>
twist	VBP	twist
it	PP	it
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
talking	VBG	talk
but	CC	but
not	RB	not
about	IN	about
her	PP	her
,	,	,
and	CC	and
I	PP	I
was	VBD	be
really	RB	really
conscious	JJ	conscious
of	IN	of
it	PP	it
,	,	,
like	IN	like
editing	VBG	edit
myself	PP	myself
as	IN	as
I	PP	I
was	VBD	be
speaking	VBG	speak
.	SENT	.
Then	RB	then
afterwards	RB	afterwards
I	PP	I
went	VBD	go
back	RB	back
up	RB	up
and	CC	and
I	PP	I
got	VBD	get
this	DT	this
message	NN	message
from	IN	from
her	PP	her
,	,	,
straight	RB	straight
away	RB	away
,	,	,
like	VB	like
,	,	,
“	``	"
what	WP	what
were	VBD	be
you	PP	you
saying	VBG	say
about	IN	about
me	PP	me
?	SENT	?
”	''	"
and	CC	and
all	RB	all
that	RB	that
.	SENT	.
She	PP	she
was	VBD	be
going	VBG	go
,	,	,
“	``	"
just	RB	just
tell	VB	tell
me	PP	me
,	,	,
just	RB	just
tell	VB	tell
me	PP	me
what	WP	what
you	PP	you
said	VBD	say
,	,	,
”	''	"
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
we	PP	we
did	VBD	do
n’t	RB	n't
say	VB	say
anything	NN	anything
about	IN	about
you	PP	you
.	SENT	.
She	PP	she
was	VBD	be
insisting	VBG	insist
she	PP	she
’d	VBD	have
heard	VBN	hear
something	NN	something
,	,	,
but	CC	but
she	PP	she
had	VBD	have
n’t	RB	n't
,	,	,
because	IN	because
I	PP	I
was	VBD	be
so	RB	so
careful	JJ	careful
.	SENT	.
It	PP	it
was	VBD	be
so	RB	so
frustrating	JJ	frustrating
,	,	,
because	IN	because
she	PP	she
was	VBD	be
basically	RB	basically
accusing	VBG	accuse
me	PP	me
of	IN	of
talking	VBG	talk
about	IN	about
her	PP	her
behind	IN	behind
her	PP$	her
back	NN	back
when	WRB	when
I	PP	I
’d	VBD	have
gone	VBN	go
out	RP	out
of	IN	of
my	PP$	my
way	NN	way
not	RB	not
to	TO	to
.	SENT	.
And	CC	and
she	PP	she
just	RB	just
kept	VBD	keep
pressing	VBG	press
,	,	,
like	VB	like
,	,	,
“	``	"
come	VB	come
on	IN	on
,	,	,
just	RB	just
tell	VB	tell
me	PP	me
,	,	,
”	''	"
as	RB	as
if	IN	if
there	EX	there
was	VBD	be
some	DT	some
big	JJ	big
secret	NN	secret
,	,	,
and	CC	and
I	PP	I
’m	NN	<unknown>
sat	VBD	sit
there	RB	there
going	VBG	go
,	,	,
there	EX	there
is	VBZ	be
nothing	NN	nothing
to	TO	to
tell	VB	tell
,	,	,
your	PP$	your
name	NN	name
never	RB	never
even	RB	even
came	VBD	come
up	RP	up
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
annoying	VBG	annoy
,	,	,
because	IN	because
I	PP	I
knew	VBD	know
I	PP	I
was	VBD	be
telling	VBG	tell
the	DT	the
truth	NN	truth
and	CC	and
she	PP	she
was	VBD	be
acting	VBG	act
like	IN	like
I	PP	I
was	VBD	be
lying	VBG	lie
,	,	,
and	CC	and
the	DT	the
whole	JJ	whole
thing	NN	thing
only	RB	only
happened	VBD	happen
because	IN	because
she	PP	she
was	VBD	be
literally	RB	literally
stood	VBN	stand
there	RB	there
listening	VBG	listen
in	IN	in
.	SENT	.
